exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_14_	|(69,33).1	|0	|0
O_Pin	|OPIN(69,33)	|(69,33).1	|500	|500
CHAN_Y	|	|(68,33).7	|500	|1000
CHAN_X	|	|(68,32).7	|500	|1500
CHAN_X	|	|(67,32).7	|500	|2000
I_Pin	|IPIN(67,33).0	|(67,33).0	|500	|2500
CLB(comb)	|[59]	|(67,33)	|44800	|47300
O_Pin	|OPIN(67,33)	|(67,33).1	|0	|47300
CHAN_X	|	|(67,32).10	|500	|47800
CHAN_X	|	|(66,32).10	|500	|48300
CHAN_X	|	|(65,32).10	|500	|48800
CHAN_Y	|	|(64,33).10	|500	|49300
CHAN_X	|	|(64,33).10	|500	|49800
CHAN_X	|	|(63,33).10	|500	|50300
CHAN_Y	|	|(62,33).10	|500	|50800
CHAN_X	|	|(62,32).10	|500	|51300
CHAN_Y	|	|(61,33).10	|500	|51800
CHAN_X	|	|(61,33).10	|500	|52300
CHAN_X	|	|(60,33).10	|500	|52800
I_Pin	|IPIN(60,34).0	|(60,34).0	|500	|53300
CLB(comb)	|[20530]	|(60,34)	|61400	|114700
O_Pin	|OPIN(60,34)	|(60,34).1	|0	|114700
CHAN_X	|	|(60,33).11	|500	|115200
CHAN_X	|	|(61,33).11	|500	|115700
CHAN_X	|	|(62,33).11	|500	|116200
CHAN_X	|	|(63,33).11	|500	|116700
CHAN_X	|	|(64,33).11	|500	|117200
CHAN_Y	|	|(64,34).11	|500	|117700
I_Pin	|IPIN(64,34).3	|(64,34).3	|500	|118200
CLB(comb)	|[4344]	|(64,34)	|900	|119100
O_Pin	|OPIN(64,34)	|(64,34).1	|0	|119100
CHAN_Y	|	|(64,34).0	|500	|119600
CHAN_X	|	|(65,34).0	|500	|120100
I_Pin	|IPIN(65,35).0	|(65,35).0	|500	|120600
CLB(comb)	|n_n2837	|(65,35)	|900	|121500
O_Pin	|OPIN(65,35)	|(65,35).1	|0	|121500
CHAN_Y	|	|(65,35).5	|500	|122000
CHAN_X	|	|(65,35).5	|500	|122500
CHAN_X	|	|(64,35).5	|500	|123000
CHAN_Y	|	|(63,36).5	|500	|123500
CHAN_Y	|	|(63,37).5	|500	|124000
CHAN_Y	|	|(63,38).5	|500	|124500
CHAN_X	|	|(63,38).5	|500	|125000
CHAN_Y	|	|(62,39).5	|500	|125500
CHAN_X	|	|(62,39).5	|500	|126000
I_Pin	|IPIN(62,40).0	|(62,40).0	|500	|126500
CLB(comb)	|n_n2804	|(62,40)	|6000	|132500
O_Pin	|OPIN(62,40)	|(62,40).1	|0	|132500
CHAN_X	|	|(62,39).10	|500	|133000
CHAN_Y	|	|(61,40).10	|500	|133500
CHAN_Y	|	|(61,41).10	|500	|134000
CHAN_Y	|	|(61,42).10	|500	|134500
CHAN_X	|	|(61,42).10	|500	|135000
CHAN_Y	|	|(60,43).10	|500	|135500
CHAN_Y	|	|(60,44).10	|500	|136000
CHAN_X	|	|(60,44).10	|500	|136500
CHAN_X	|	|(59,44).10	|500	|137000
CHAN_X	|	|(58,44).10	|500	|137500
CHAN_Y	|	|(57,45).10	|500	|138000
CHAN_X	|	|(57,45).10	|500	|138500
CHAN_X	|	|(56,45).10	|500	|139000
CHAN_Y	|	|(55,46).10	|500	|139500
CHAN_X	|	|(55,46).10	|500	|140000
CHAN_X	|	|(54,46).10	|500	|140500
CHAN_X	|	|(53,46).10	|500	|141000
CHAN_X	|	|(52,46).10	|500	|141500
CHAN_X	|	|(51,46).10	|500	|142000
CHAN_X	|	|(50,46).10	|500	|142500
CHAN_X	|	|(49,46).10	|500	|143000
CHAN_X	|	|(48,46).10	|500	|143500
CHAN_X	|	|(47,46).10	|500	|144000
CHAN_X	|	|(46,46).10	|500	|144500
CHAN_X	|	|(45,46).10	|500	|145000
CHAN_X	|	|(44,46).10	|500	|145500
CHAN_Y	|	|(43,46).10	|500	|146000
CHAN_Y	|	|(43,45).10	|500	|146500
CHAN_X	|	|(43,44).10	|500	|147000
CHAN_X	|	|(42,44).10	|500	|147500
CHAN_X	|	|(41,44).10	|500	|148000
CHAN_X	|	|(40,44).10	|500	|148500
CHAN_Y	|	|(39,45).10	|500	|149000
CHAN_X	|	|(39,45).10	|500	|149500
CHAN_X	|	|(38,45).10	|500	|150000
CHAN_Y	|	|(37,46).10	|500	|150500
CHAN_Y	|	|(37,47).10	|500	|151000
CHAN_X	|	|(37,47).10	|500	|151500
CHAN_X	|	|(36,47).10	|500	|152000
CHAN_X	|	|(35,47).10	|500	|152500
CHAN_X	|	|(34,47).10	|500	|153000
CHAN_X	|	|(33,47).10	|500	|153500
CHAN_X	|	|(32,47).10	|500	|154000
CHAN_X	|	|(31,47).10	|500	|154500
CHAN_X	|	|(30,47).10	|500	|155000
CHAN_Y	|	|(29,47).10	|500	|155500
CHAN_X	|	|(29,46).10	|500	|156000
CHAN_X	|	|(28,46).10	|500	|156500
CHAN_X	|	|(27,46).10	|500	|157000
CHAN_Y	|	|(26,47).10	|500	|157500
CHAN_X	|	|(26,47).10	|500	|158000
CHAN_X	|	|(25,47).10	|500	|158500
CHAN_X	|	|(24,47).10	|500	|159000
CHAN_X	|	|(23,47).10	|500	|159500
CHAN_X	|	|(22,47).10	|500	|160000
CHAN_X	|	|(21,47).10	|500	|160500
CHAN_Y	|	|(20,47).10	|500	|161000
CHAN_X	|	|(20,46).10	|500	|161500
CHAN_Y	|	|(19,46).10	|500	|162000
CHAN_Y	|	|(19,45).10	|500	|162500
CHAN_Y	|	|(19,44).10	|500	|163000
CHAN_X	|	|(20,43).10	|500	|163500
CHAN_X	|	|(21,43).10	|500	|164000
