exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|p_2105_221_	|(4,29).0	|0	|0
O_Pin	|OPIN(4,29)	|(4,29).1	|500	|500
CHAN_X	|	|(4,28).0	|500	|1000
CHAN_Y	|	|(4,28).0	|500	|1500
CHAN_X	|	|(5,27).0	|500	|2000
I_Pin	|IPIN(5,28).0	|(5,28).0	|500	|2500
CLB(comb)	|[1672]	|(5,28)	|900	|3400
O_Pin	|OPIN(5,28)	|(5,28).1	|0	|3400
CHAN_Y	|	|(5,28).3	|500	|3900
CHAN_Y	|	|(5,27).3	|500	|4400
CHAN_Y	|	|(5,26).3	|500	|4900
CHAN_Y	|	|(5,25).3	|500	|5400
CHAN_X	|	|(6,24).3	|500	|5900
CHAN_X	|	|(7,24).3	|500	|6400
CHAN_X	|	|(8,24).3	|500	|6900
CHAN_X	|	|(9,24).3	|500	|7400
CHAN_X	|	|(10,24).3	|500	|7900
CHAN_X	|	|(11,24).3	|500	|8400
CHAN_X	|	|(12,24).3	|500	|8900
CHAN_X	|	|(13,24).3	|500	|9400
CHAN_X	|	|(14,24).3	|500	|9900
CHAN_X	|	|(15,24).3	|500	|10400
CHAN_X	|	|(16,24).3	|500	|10900
I_Pin	|IPIN(16,24).2	|(16,24).2	|500	|11400
CLB(comb)	|p_164_607_	|(16,24)	|1400	|12800
O_Pin	|OPIN(16,24)	|(16,24).1	|0	|12800
CHAN_Y	|	|(16,24).1	|500	|13300
CHAN_X	|	|(17,24).1	|500	|13800
CHAN_X	|	|(18,24).1	|500	|14300
CHAN_Y	|	|(18,25).1	|500	|14800
CHAN_X	|	|(19,25).1	|500	|15300
CHAN_X	|	|(20,25).1	|500	|15800
I_Pin	|IPIN(20,26).0	|(20,26).0	|500	|16300
CLB(comb)	|[117]	|(20,26)	|2900	|19200
O_Pin	|OPIN(20,26)	|(20,26).1	|0	|19200
CHAN_X	|	|(20,25).4	|500	|19700
CHAN_X	|	|(19,25).4	|500	|20200
I_Pin	|IPIN(19,25).2	|(19,25).2	|500	|20700
CLB(comb)	|[1778]	|(19,25)	|900	|21600
O_Pin	|OPIN(19,25)	|(19,25).1	|0	|21600
CHAN_Y	|	|(19,25).3	|500	|22100
CHAN_Y	|	|(19,24).3	|500	|22600
CHAN_X	|	|(19,23).3	|500	|23100
I_Pin	|IPIN(19,23).2	|(19,23).2	|500	|23600
CLB(comb)	|[1787]	|(19,23)	|900	|24500
O_Pin	|OPIN(19,23)	|(19,23).1	|0	|24500
CHAN_Y	|	|(19,23).5	|500	|25000
CHAN_Y	|	|(19,24).5	|500	|25500
I_Pin	|IPIN(19,24).3	|(19,24).3	|500	|26000
CLB(comb)	|[1794]	|(19,24)	|900	|26900
O_Pin	|OPIN(19,24)	|(19,24).1	|0	|26900
CHAN_Y	|	|(19,24).1	|500	|27400
CHAN_Y	|	|(19,25).1	|500	|27900
CHAN_Y	|	|(19,26).1	|500	|28400
CHAN_Y	|	|(19,27).1	|500	|28900
CHAN_Y	|	|(19,28).1	|500	|29400
I_Pin	|IPIN(19,28).3	|(19,28).3	|500	|29900
CLB(comb)	|p_329_1414_	|(19,28)	|1400	|31300
O_Pin	|OPIN(19,28)	|(19,28).1	|0	|31300
CHAN_Y	|	|(19,28).5	|500	|31800
CHAN_X	|	|(19,28).5	|500	|32300
I_Pin	|IPIN(19,29).0	|(19,29).0	|500	|32800
Out_Block	|out:p_329_1414_	|(19,29).0	|300	|33100
