

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[205]	-0-	54	13	1	71	4	0	0
[198]	-0-	5	1	1	9	1	0	0
[189]	-0-	3	1	1	5	1	0	0
[200]	-0-	132	11	1	157	7	0	0
[190]	-0-	53	5	1	65	3	0	0
[166]	-0-	4	2	1	8	1	0	0
[168]	-0-	37	6	1	48	3	0	0
[171]	-0-	60	4	1	71	3	0	0
[197]	-0-	7	2	1	10	1	0	0
[169]	-0-	2	1	1	4	1	0	0
[163]	-0-	1330	83	1	1645	79	0	0
[160]	-0-	12	0	1	16	1	0	0
[159]	-0-	71	5	1	90	5	0	0
[177]	-0-	36	0	1	45	3	0	0
[174]	-0-	2	0	1	5	1	0	0
[213]	-0-	27	0	1	37	3	0	0
[204]	-0-	5	0	1	7	1	0	0
[217]	-0-	1	0	1	3	1	0	0
[165]	-0-	1	0	1	3	1	0	0
[202]	-0-	19	0	1	22	1	0	0
[215]	-0-	1	0	1	3	1	0	0
[199]	-0-	138	1	1	163	8	0	0
[178]	-0-	1	0	1	3	1	0	0
[179]	-0-	101	1	1	132	8	0	0
[172]	-0-	2	0	1	4	1	0	0
[188]	-0-	46	2	1	54	2	0	0
[170]	-0-	27	0	1	32	1	0	0
[182]	-0-	2	0	1	4	1	0	0
[167]	-0-	18	0	1	21	1	0	0
[210]	-0-	45	0	1	59	5	0	0
[161]	-0-	12	2	1	19	2	0	0
[206]	-0-	3	0	1	6	1	0	0
[181]	-0-	1	0	1	3	1	0	0
[175]	-0-	1	0	1	3	1	0	0
[187]	-0-	18	0	1	21	1	0	0
[218]	-0-	3	0	1	7	1	0	0
[185]	-0-	1	0	1	2	1	0	0
[214]	-0-	3	0	1	6	1	0	0
[184]	-0-	1	0	1	3	1	0	0
[173]	-0-	1	0	1	3	1	0	0
[220]	-0-	245	14	1	340	29	0	0
[219]	-0-	6	0	1	10	1	0	0
[208]	-0-	553	3	1	736	51	0	0
[195]	-0-	2	0	1	3	0	0	0
[176]	-0-	2	0	1	3	0	0	0
[157]	-0-	2	0	1	4	1	0	0
[162]	-0-	5	0	1	7	1	0	0
[164]	-0-	18	0	1	23	1	0	0
[203]	-0-	6	0	1	9	1	0	0
[209]	-0-	11	0	1	14	1	0	0
[191]	-0-	3	0	1	6	1	0	0
[194]	-0-	1	0	1	3	1	0	0
[211]	-0-	15	0	1	16	0	0	0
[196]	-0-	2	0	1	4	1	0	0
[183]	-0-	4	0	1	5	0	0	0
[212]	-0-	1	0	1	3	1	0	0
[192]	-0-	7	0	1	10	1	0	0
[186]	-0-	3	0	1	5	1	0	0
[193]	-0-	2	0	1	4	1	0	0
[180]	-0-	11	0	1	16	1	0	0
[158]	-0-	10	0	1	13	1	0	0
[201]	-0-	1	0	1	3	1	0	0
[207]	-0-	4	0	1	7	1	0	0
[216]	-0-	4	0	1	7	1	0	0
---	---	---	---	---	---	---	---	---
[all]		3204	157	64	4120	259	0	0
