

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[5]	-0-	41	3	1	48	2	0	2
[12]	-0-	19	1	0	24	1	1	1
[14]	-0-	55	0	0	73	5	1	1
[19]	-0-	2	0	0	6	1	1	0
[21]	-0-	15	0	0	23	2	1	0
[18]	-0-	7	0	0	15	2	1	0
[6]	-0-	16	0	1	24	2	0	0
[1]	-0-	4	0	0	5	0	1	0
[16]	-0-	13	0	0	21	2	1	0
[11]	-0-	1	0	0	2	0	1	0
[15]	-0-	5	0	0	10	1	1	0
[17]	-0-	2	0	0	5	1	1	0
[24]	-0-	13	0	0	25	3	1	0
[13]	-0-	8	0	0	13	1	1	0
[23]	-0-	15	0	0	26	4	1	0
[20]	-0-	26	0	0	35	2	1	0
---	---	---	---	---	---	---	---	---
[all]		242	4	2	355	29	14	4
