exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_0_	|(13,5).0	|0	|0
O_Pin	|OPIN(13,5)	|(13,5).1	|500	|500
CHAN_Y	|	|(12,5).4	|500	|1000
CHAN_X	|	|(12,4).4	|500	|1500
CHAN_X	|	|(11,4).4	|500	|2000
CHAN_Y	|	|(10,5).4	|500	|2500
CHAN_Y	|	|(10,6).4	|500	|3000
CHAN_X	|	|(10,6).4	|500	|3500
CHAN_X	|	|(9,6).4	|500	|4000
CHAN_X	|	|(8,6).4	|500	|4500
I_Pin	|IPIN(8,6).2	|(8,6).2	|500	|5000
CLB(comb)	|[40]	|(8,6)	|900	|5900
O_Pin	|OPIN(8,6)	|(8,6).1	|0	|5900
CHAN_Y	|	|(8,6).1	|500	|6400
CHAN_X	|	|(8,6).1	|500	|6900
CHAN_X	|	|(7,6).1	|500	|7400
CHAN_X	|	|(6,6).1	|500	|7900
CHAN_X	|	|(5,6).1	|500	|8400
CHAN_Y	|	|(4,6).1	|500	|8900
CHAN_Y	|	|(4,5).1	|500	|9400
CHAN_X	|	|(4,4).1	|500	|9900
CHAN_Y	|	|(3,5).1	|500	|10400
CHAN_Y	|	|(3,6).1	|500	|10900
CHAN_X	|	|(3,6).1	|500	|11400
CHAN_X	|	|(2,6).1	|500	|11900
I_Pin	|IPIN(2,6).2	|(2,6).2	|500	|12400
CLB(comb)	|o_21_	|(2,6)	|5700	|18100
O_Pin	|OPIN(2,6)	|(2,6).1	|0	|18100
CHAN_X	|	|(2,5).4	|500	|18600
CHAN_X	|	|(1,5).4	|500	|19100
CHAN_Y	|	|(0,6).4	|500	|19600
I_Pin	|IPIN(0,6).0	|(0,6).0	|500	|20100
Out_Block	|out:o_21_	|(0,6).0	|300	|20400
