

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[21]	-0-	129	5	1	168	11	0	0
[18]	-0-	49	0	1	65	4	0	0
[7]	-0-	61	0	1	85	6	0	0
[25]	-0-	69	0	1	103	10	0	0
[26]	-0-	11	0	1	19	2	0	0
[20]	-0-	104	0	1	148	13	0	0
[12]	-0-	66	0	1	94	8	0	0
[5]	-0-	7	0	1	16	2	0	0
[6]	-0-	37	0	1	46	2	0	0
[17]	-0-	3	0	1	4	0	0	0
[32]	-0-	37	0	1	54	5	0	0
[24]	-0-	50	0	1	72	6	0	0
[23]	-0-	40	0	1	60	6	0	0
[31]	-0-	3	0	1	6	1	0	0
[16]	-0-	32	0	1	52	5	0	0
[11]	-0-	44	0	1	62	5	0	0
[14]	-0-	34	0	1	54	5	0	0
[30]	-0-	30	0	1	53	6	0	0
[13]	-0-	17	0	1	20	1	0	0
[19]	-0-	39	0	1	54	4	0	0
[29]	-0-	13	0	1	22	2	0	0
[28]	-0-	32	0	1	50	5	0	0
[22]	-0-	4	0	1	5	0	0	0
[10]	-0-	15	0	1	24	3	0	0
[8]	-0-	14	0	1	26	3	0	0
[9]	-0-	41	0	1	70	8	0	0
[15]	-0-	14	0	1	27	3	0	0
[27]	-0-	32	0	1	55	6	0	0
---	---	---	---	---	---	---	---	---
[all]		1027	5	28	1514	132	0	0
