exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
CLB(seq)	|ni32	|(23,44)	|0	|0
O_Pin	|OPIN(23,44)	|(23,44).1	|500	|500
CHAN_Y	|	|(23,44).5	|500	|1000
CHAN_Y	|	|(23,45).5	|500	|1500
CHAN_Y	|	|(23,46).5	|500	|2000
CHAN_Y	|	|(23,47).5	|500	|2500
CHAN_Y	|	|(23,48).5	|500	|3000
CHAN_Y	|	|(23,49).5	|500	|3500
CHAN_X	|	|(24,49).5	|500	|4000
CHAN_X	|	|(25,49).5	|500	|4500
CHAN_X	|	|(26,49).5	|500	|5000
CHAN_X	|	|(27,49).5	|500	|5500
CHAN_X	|	|(28,49).5	|500	|6000
CHAN_X	|	|(29,49).5	|500	|6500
CHAN_X	|	|(30,49).5	|500	|7000
CHAN_X	|	|(31,49).5	|500	|7500
CHAN_X	|	|(32,49).5	|500	|8000
CHAN_X	|	|(33,49).5	|500	|8500
CHAN_X	|	|(34,49).5	|500	|9000
CHAN_Y	|	|(34,50).5	|500	|9500
CHAN_Y	|	|(34,51).5	|500	|10000
CHAN_Y	|	|(34,52).5	|500	|10500
CHAN_Y	|	|(34,53).5	|500	|11000
CHAN_Y	|	|(34,54).5	|500	|11500
CHAN_X	|	|(35,54).5	|500	|12000
CHAN_X	|	|(36,54).5	|500	|12500
CHAN_X	|	|(37,54).5	|500	|13000
CHAN_X	|	|(38,54).5	|500	|13500
CHAN_X	|	|(39,54).5	|500	|14000
CHAN_X	|	|(40,54).5	|500	|14500
CHAN_X	|	|(41,54).5	|500	|15000
CHAN_X	|	|(42,54).5	|500	|15500
CHAN_X	|	|(43,54).5	|500	|16000
CHAN_X	|	|(44,54).5	|500	|16500
CHAN_X	|	|(45,54).5	|500	|17000
CHAN_X	|	|(46,54).5	|500	|17500
CHAN_X	|	|(47,54).5	|500	|18000
CHAN_X	|	|(48,54).5	|500	|18500
CHAN_X	|	|(49,54).5	|500	|19000
CHAN_Y	|	|(49,54).5	|500	|19500
CHAN_Y	|	|(49,53).5	|500	|20000
CHAN_Y	|	|(49,52).5	|500	|20500
CHAN_X	|	|(49,51).5	|500	|21000
CHAN_X	|	|(48,51).5	|500	|21500
CHAN_X	|	|(47,51).5	|500	|22000
CHAN_Y	|	|(46,52).5	|500	|22500
I_Pin	|IPIN(47,52).1	|(47,52).1	|500	|23000
CLB(comb)	|[35655]	|(47,52)	|5800	|28800
O_Pin	|OPIN(47,52)	|(47,52).1	|0	|28800
CHAN_X	|	|(47,51).12	|500	|29300
CHAN_X	|	|(46,51).12	|500	|29800
I_Pin	|IPIN(46,52).0	|(46,52).0	|500	|30300
CLB(comb)	|[35656]	|(46,52)	|30900	|61200
O_Pin	|OPIN(46,52)	|(46,52).1	|0	|61200
CHAN_X	|	|(46,51).10	|500	|61700
CHAN_Y	|	|(46,51).10	|500	|62200
I_Pin	|IPIN(46,51).3	|(46,51).3	|500	|62700
CLB(comb)	|[35670]	|(46,51)	|2400	|65100
O_Pin	|OPIN(46,51)	|(46,51).1	|0	|65100
CHAN_X	|	|(46,50).13	|500	|65600
I_Pin	|IPIN(46,50).2	|(46,50).2	|500	|66100
CLB(comb)	|p__cmnxcp_0	|(46,50)	|900	|67000
O_Pin	|OPIN(46,50)	|(46,50).1	|0	|67000
CHAN_X	|	|(46,49).0	|500	|67500
CHAN_Y	|	|(46,49).0	|500	|68000
CHAN_Y	|	|(46,48).0	|500	|68500
CHAN_Y	|	|(46,47).0	|500	|69000
CHAN_Y	|	|(46,46).0	|500	|69500
CHAN_Y	|	|(46,45).0	|500	|70000
CHAN_Y	|	|(46,44).0	|500	|70500
CHAN_Y	|	|(46,43).0	|500	|71000
CHAN_Y	|	|(46,42).0	|500	|71500
CHAN_Y	|	|(46,41).0	|500	|72000
CHAN_Y	|	|(46,40).0	|500	|72500
CHAN_Y	|	|(46,39).0	|500	|73000
CHAN_Y	|	|(46,38).0	|500	|73500
CHAN_Y	|	|(46,37).0	|500	|74000
CHAN_Y	|	|(46,36).0	|500	|74500
CHAN_Y	|	|(46,35).0	|500	|75000
CHAN_Y	|	|(46,34).0	|500	|75500
CHAN_Y	|	|(46,33).0	|500	|76000
CHAN_Y	|	|(46,32).0	|500	|76500
CHAN_Y	|	|(46,31).0	|500	|77000
CHAN_Y	|	|(46,30).0	|500	|77500
CHAN_X	|	|(46,29).0	|500	|78000
CHAN_Y	|	|(45,29).0	|500	|78500
CHAN_Y	|	|(45,28).0	|500	|79000
CHAN_Y	|	|(45,27).0	|500	|79500
CHAN_Y	|	|(45,26).0	|500	|80000
CHAN_Y	|	|(45,25).0	|500	|80500
CHAN_Y	|	|(45,24).0	|500	|81000
CHAN_Y	|	|(45,23).0	|500	|81500
CHAN_Y	|	|(45,22).0	|500	|82000
CHAN_Y	|	|(45,21).0	|500	|82500
CHAN_Y	|	|(45,20).0	|500	|83000
CHAN_Y	|	|(45,19).0	|500	|83500
CHAN_Y	|	|(45,18).0	|500	|84000
CHAN_Y	|	|(45,17).0	|500	|84500
CHAN_Y	|	|(45,16).0	|500	|85000
CHAN_Y	|	|(45,15).0	|500	|85500
CHAN_Y	|	|(45,14).0	|500	|86000
CHAN_Y	|	|(45,13).0	|500	|86500
CHAN_Y	|	|(45,12).0	|500	|87000
CHAN_Y	|	|(45,11).0	|500	|87500
CHAN_Y	|	|(45,10).0	|500	|88000
CHAN_Y	|	|(45,9).0	|500	|88500
CHAN_Y	|	|(45,8).0	|500	|89000
CHAN_Y	|	|(45,7).0	|500	|89500
CHAN_Y	|	|(45,6).0	|500	|90000
CHAN_Y	|	|(45,5).0	|500	|90500
