

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[242]	-0-	4056	4	0	4787	212	1	15
[241]	-0-	252	0	0	305	15	1	3
[254]	-0-	14453	8	0	16573	592	1	12
[295]	-0-	57	0	0	87	9	1	0
[224]	-0-	443	1	0	483	11	1	0
[225]	-0-	192	0	0	247	15	1	0
[211]	-0-	145	0	0	161	5	1	1
[184]	-0-	1025	0	0	1174	43	1	0
[183]	-0-	210	0	0	287	22	1	0
[292]	-0-	13016	0	0	16087	846	1	1
[85]	-0-	76	0	1	80	2	0	0
[80]	-0-	7	0	1	9	1	0	0
[259]	-0-	199	0	0	240	12	1	0
[89]	-0-	232	0	1	236	1	0	0
[99]	-0-	336	1	1	341	1	0	0
[75]	-0-	47	1	1	52	1	0	0
[72]	-0-	127	1	1	132	1	0	0
[69]	-0-	99	0	1	101	2	0	0
[65]	-0-	106	1	1	111	1	0	0
[107]	-0-	4	1	1	9	1	0	0
[106]	-0-	229	1	1	234	1	0	0
[105]	-0-	67	1	1	72	1	0	0
[103]	-0-	99	1	1	104	1	0	0
[279]	-0-	86	0	0	95	2	1	0
[277]	-0-	91	0	0	96	1	1	0
[278]	-0-	108	0	0	113	1	1	0
[95]	-0-	7	1	1	12	1	0	0
[90]	-0-	35	1	1	40	1	0	0
[131]	-0-	20	0	1	25	1	0	0
[127]	-0-	4	0	1	9	1	0	0
[83]	-0-	11	1	1	16	1	0	0
[78]	-0-	6	1	1	11	1	0	0
[142]	-0-	82	0	1	84	1	0	0
[139]	-0-	6	0	1	8	1	0	0
[122]	-0-	47	0	1	52	1	0	0
[117]	-0-	219	0	1	224	1	0	0
[271]	-0-	26	0	0	27	0	1	0
[133]	-0-	4	0	1	6	1	0	0
[129]	-0-	23	0	1	25	1	0	0
[124]	-0-	5	0	1	7	1	0	0
[119]	-0-	3	0	1	5	1	0	0
[137]	-0-	22	1	1	27	1	0	0
[135]	-0-	11	1	1	16	1	0	0
[91]	-0-	6	1	1	11	1	0	0
[84]	-0-	7	1	1	12	1	0	0
[128]	-0-	16	1	1	21	1	0	0
[96]	-0-	4	1	1	9	1	0	0
[79]	-0-	4	1	1	9	1	0	0
[123]	-0-	4	1	1	9	1	0	0
[140]	-0-	11	1	1	16	1	0	0
[132]	-0-	5	1	1	10	1	0	0
[118]	-0-	37	1	1	42	1	0	0
[143]	-0-	7	1	1	12	1	0	0
[274]	-0-	29	0	0	34	1	1	0
[270]	-0-	18559	0	0	22125	972	1	0
[228]	-0-	91	0	0	117	7	1	0
[233]	-0-	624	0	0	694	19	1	0
[185]	-0-	231	0	0	281	14	1	0
[217]	-0-	15	0	0	22	2	1	0
[186]	-0-	240	0	0	306	18	1	0
[187]	-0-	103	0	0	124	6	1	0
[197]	-0-	9	0	0	10	0	1	0
[109]	-0-	117	1	1	122	1	0	0
[108]	-0-	242	1	1	247	1	0	0
[98]	-0-	13	0	1	17	1	0	0
[97]	-0-	3	0	1	5	1	0	0
[102]	-0-	10	1	1	15	1	0	0
[101]	-0-	70	1	1	75	1	0	0
[111]	-0-	12	1	1	17	1	0	0
[110]	-0-	154	1	1	159	1	0	0
[115]	-0-	12	1	1	17	1	0	0
[113]	-0-	18	1	1	23	1	0	0
[198]	-0-	60	0	0	65	1	1	0
[198]	-1-	9	0	0	10	0	1	0
[104]	-0-	24	0	1	25	0	0	0
[232]	-0-	81	0	0	93	3	1	0
[125]	-0-	184	0	1	191	2	0	0
[120]	-0-	163	0	1	181	5	0	0
[282]	-0-	79	0	0	106	7	1	0
[281]	-0-	15	0	0	31	4	1	0
[100]	-0-	34	0	1	39	1	0	0
[269]	-0-	19856	0	0	24819	1366	1	0
[248]	-0-	22	0	0	23	0	1	0
[268]	-0-	102	0	0	110	2	1	0
[272]	-0-	7	0	0	12	1	1	0
[273]	-0-	5	0	0	9	1	1	0
[267]	-0-	75	0	0	86	3	1	0
[287]	-0-	12499	0	0	15116	723	1	0
[286]	-0-	56	0	0	60	1	1	0
[285]	-0-	9882	0	0	12633	754	1	0
[284]	-0-	5924	0	0	7598	453	1	0
[249]	-0-	9	0	0	16	2	1	0
[246]	-0-	407	0	0	459	14	1	0
[245]	-0-	226	0	0	275	14	1	0
[215]	-0-	184	0	0	235	15	1	0
[214]	-0-	118	0	0	152	9	1	0
[146]	-0-	7	0	0	8	0	1	0
[146]	-1-	41	0	0	42	0	1	0
[192]	-0-	134	0	0	184	14	1	0
[216]	-0-	427	0	0	534	30	1	0
