exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_6_	|(5,9).0	|0	|0
O_Pin	|OPIN(5,9)	|(5,9).1	|500	|500
CHAN_X	|	|(5,8).2	|500	|1000
CHAN_X	|	|(6,8).2	|500	|1500
CHAN_X	|	|(7,8).2	|500	|2000
CHAN_Y	|	|(7,8).2	|500	|2500
CHAN_X	|	|(8,7).2	|500	|3000
CHAN_Y	|	|(8,7).2	|500	|3500
CHAN_Y	|	|(8,6).2	|500	|4000
CHAN_Y	|	|(8,5).2	|500	|4500
CHAN_X	|	|(8,4).2	|500	|5000
CHAN_Y	|	|(7,4).2	|500	|5500
CHAN_Y	|	|(7,3).2	|500	|6000
CHAN_Y	|	|(7,2).2	|500	|6500
CHAN_Y	|	|(7,1).2	|500	|7000
CHAN_X	|	|(7,0).2	|500	|7500
CHAN_X	|	|(6,0).2	|500	|8000
CHAN_X	|	|(5,0).2	|500	|8500
CHAN_X	|	|(4,0).2	|500	|9000
CHAN_X	|	|(3,0).2	|500	|9500
CHAN_X	|	|(2,0).2	|500	|10000
CHAN_Y	|	|(1,1).2	|500	|10500
CHAN_Y	|	|(1,2).2	|500	|11000
CHAN_Y	|	|(1,3).2	|500	|11500
CHAN_X	|	|(2,3).2	|500	|12000
CHAN_X	|	|(3,3).2	|500	|12500
CHAN_X	|	|(4,3).2	|500	|13000
I_Pin	|IPIN(4,4).0	|(4,4).0	|500	|13500
CLB(comb)	|[266]	|(4,4)	|900	|14400
O_Pin	|OPIN(4,4)	|(4,4).1	|0	|14400
CHAN_Y	|	|(4,4).3	|500	|14900
CHAN_Y	|	|(4,3).3	|500	|15400
CHAN_X	|	|(4,2).3	|500	|15900
I_Pin	|IPIN(4,2).2	|(4,2).2	|500	|16400
CLB(comb)	|[270]	|(4,2)	|900	|17300
O_Pin	|OPIN(4,2)	|(4,2).1	|0	|17300
CHAN_X	|	|(4,1).3	|500	|17800
CHAN_Y	|	|(3,1).3	|500	|18300
I_Pin	|IPIN(3,1).3	|(3,1).3	|500	|18800
CLB(comb)	|o_2_	|(3,1)	|900	|19700
O_Pin	|OPIN(3,1)	|(3,1).1	|0	|19700
CHAN_X	|	|(3,0).4	|500	|20200
I_Pin	|IPIN(3,0).0	|(3,0).0	|500	|20700
Out_Block	|out:o_2_	|(3,0).0	|300	|21000
