exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|p_5	|(14,0).0	|0	|0
O_Pin	|OPIN(14,0)	|(14,0).1	|500	|500
CHAN_X	|	|(14,0).0	|500	|1000
CHAN_Y	|	|(14,1).0	|500	|1500
CHAN_X	|	|(14,1).0	|500	|2000
I_Pin	|IPIN(14,1).2	|(14,1).2	|500	|2500
CLB(comb)	|[372]	|(14,1)	|900	|3400
O_Pin	|OPIN(14,1)	|(14,1).1	|0	|3400
CHAN_Y	|	|(14,1).5	|500	|3900
CHAN_X	|	|(15,1).5	|500	|4400
CHAN_X	|	|(16,1).5	|500	|4900
CHAN_X	|	|(17,1).5	|500	|5400
I_Pin	|IPIN(17,1).2	|(17,1).2	|500	|5900
CLB(comb)	|n_2306	|(17,1)	|900	|6800
O_Pin	|OPIN(17,1)	|(17,1).1	|0	|6800
CHAN_Y	|	|(17,1).5	|500	|7300
I_Pin	|IPIN(18,1).1	|(18,1).1	|500	|7800
CLB(comb)	|[343]	|(18,1)	|900	|8700
O_Pin	|OPIN(18,1)	|(18,1).1	|0	|8700
CHAN_Y	|	|(18,1).4	|500	|9200
I_Pin	|IPIN(19,1).1	|(19,1).1	|500	|9700
CLB(comb)	|n_2312	|(19,1)	|900	|10600
O_Pin	|OPIN(19,1)	|(19,1).1	|0	|10600
CHAN_Y	|	|(19,1).5	|500	|11100
CHAN_Y	|	|(19,2).5	|500	|11600
CHAN_X	|	|(20,2).5	|500	|12100
CHAN_Y	|	|(20,3).5	|500	|12600
CHAN_Y	|	|(20,4).5	|500	|13100
CHAN_Y	|	|(20,5).5	|500	|13600
I_Pin	|IPIN(21,5).1	|(21,5).1	|500	|14100
CLB(comb)	|[399]	|(21,5)	|900	|15000
O_Pin	|OPIN(21,5)	|(21,5).1	|0	|15000
CHAN_Y	|	|(21,5).5	|500	|15500
CHAN_Y	|	|(21,6).5	|500	|16000
I_Pin	|IPIN(22,6).1	|(22,6).1	|500	|16500
CLB(comb)	|n_2318	|(22,6)	|900	|17400
O_Pin	|OPIN(22,6)	|(22,6).1	|0	|17400
CHAN_Y	|	|(22,6).6	|500	|17900
CHAN_Y	|	|(22,7).6	|500	|18400
CHAN_Y	|	|(22,8).6	|500	|18900
I_Pin	|IPIN(23,8).1	|(23,8).1	|500	|19400
CLB(comb)	|[375]	|(23,8)	|900	|20300
O_Pin	|OPIN(23,8)	|(23,8).1	|0	|20300
CHAN_Y	|	|(23,8).3	|500	|20800
CHAN_Y	|	|(23,9).3	|500	|21300
CHAN_Y	|	|(23,10).3	|500	|21800
CHAN_Y	|	|(23,11).3	|500	|22300
CHAN_Y	|	|(23,12).3	|500	|22800
CHAN_X	|	|(23,12).3	|500	|23300
I_Pin	|IPIN(23,13).0	|(23,13).0	|500	|23800
CLB(comb)	|n_2324	|(23,13)	|900	|24700
O_Pin	|OPIN(23,13)	|(23,13).1	|0	|24700
CHAN_X	|	|(23,12).6	|500	|25200
CHAN_X	|	|(22,12).6	|500	|25700
I_Pin	|IPIN(22,13).0	|(22,13).0	|500	|26200
CLB(comb)	|[384]	|(22,13)	|900	|27100
O_Pin	|OPIN(22,13)	|(22,13).1	|0	|27100
CHAN_X	|	|(22,12).4	|500	|27600
CHAN_X	|	|(21,12).4	|500	|28100
I_Pin	|IPIN(21,13).0	|(21,13).0	|500	|28600
CLB(comb)	|n_2330	|(21,13)	|900	|29500
O_Pin	|OPIN(21,13)	|(21,13).1	|0	|29500
CHAN_X	|	|(21,12).6	|500	|30000
CHAN_Y	|	|(20,13).6	|500	|30500
I_Pin	|IPIN(20,13).3	|(20,13).3	|500	|31000
CLB(comb)	|[348]	|(20,13)	|900	|31900
O_Pin	|OPIN(20,13)	|(20,13).1	|0	|31900
CHAN_X	|	|(20,12).4	|500	|32400
CHAN_X	|	|(19,12).4	|500	|32900
I_Pin	|IPIN(19,13).0	|(19,13).0	|500	|33400
CLB(comb)	|n_2336	|(19,13)	|900	|34300
O_Pin	|OPIN(19,13)	|(19,13).1	|0	|34300
CHAN_X	|	|(19,12).5	|500	|34800
CHAN_X	|	|(18,12).5	|500	|35300
CHAN_X	|	|(17,12).5	|500	|35800
CHAN_X	|	|(16,12).5	|500	|36300
CHAN_X	|	|(15,12).5	|500	|36800
CHAN_X	|	|(14,12).5	|500	|37300
CHAN_X	|	|(13,12).5	|500	|37800
I_Pin	|IPIN(13,13).0	|(13,13).0	|500	|38300
CLB(comb)	|[378]	|(13,13)	|900	|39200
O_Pin	|OPIN(13,13)	|(13,13).1	|0	|39200
CHAN_X	|	|(13,12).6	|500	|39700
CHAN_X	|	|(12,12).6	|500	|40200
CHAN_X	|	|(11,12).6	|500	|40700
CHAN_Y	|	|(10,12).6	|500	|41200
I_Pin	|IPIN(10,12).3	|(10,12).3	|500	|41700
CLB(comb)	|n_2342	|(10,12)	|900	|42600
O_Pin	|OPIN(10,12)	|(10,12).1	|0	|42600
CHAN_X	|	|(10,11).3	|500	|43100
CHAN_Y	|	|(9,11).3	|500	|43600
CHAN_X	|	|(9,10).3	|500	|44100
I_Pin	|IPIN(9,10).2	|(9,10).2	|500	|44600
CLB(comb)	|[408]	|(9,10)	|900	|45500
O_Pin	|OPIN(9,10)	|(9,10).1	|0	|45500
CHAN_X	|	|(9,9).5	|500	|46000
CHAN_X	|	|(8,9).5	|500	|46500
I_Pin	|IPIN(8,10).0	|(8,10).0	|500	|47000
CLB(comb)	|n_2348	|(8,10)	|900	|47900
O_Pin	|OPIN(8,10)	|(8,10).1	|0	|47900
CHAN_X	|	|(8,9).6	|500	|48400
CHAN_Y	|	|(7,10).6	|500	|48900
