

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[287]	-0-	1	0	0	2	0	1	1
[295]	-0-	1	0	0	2	0	1	1
[38]	-0-	1995	33	1	2548	161	0	59
[292]	-0-	0	0	0	1	0	1	0
[32]	-0-	23	0	0	24	0	1	0
[32]	-1-	1	0	0	2	0	1	0
[32]	-2-	0	0	0	1	0	1	0
[32]	-3-	7	0	0	8	0	1	0
[32]	-4-	0	0	0	1	0	1	0
[32]	-5-	11	0	0	12	0	1	0
[32]	-6-	0	0	0	1	0	1	0
[32]	-7-	13	0	0	14	0	1	0
[32]	-8-	6	0	0	7	0	1	0
[32]	-9-	4	0	0	5	0	1	0
[32]	-10-	5	0	0	6	0	1	0
[32]	-11-	13	0	0	14	0	1	0
[32]	-12-	0	0	0	1	0	1	0
[32]	-13-	6	0	0	7	0	1	0
[32]	-14-	2	0	0	3	0	1	0
[32]	-15-	1	0	0	2	0	1	0
[32]	-16-	2	0	0	3	0	1	0
[32]	-17-	0	0	0	1	0	1	0
[32]	-18-	1	0	0	2	0	1	0
[32]	-19-	1	0	0	2	0	1	0
[32]	-20-	0	0	0	1	0	1	0
[32]	-21-	6	0	0	7	0	1	0
[32]	-22-	16	0	0	17	0	1	0
[32]	-23-	2	0	0	3	0	1	0
[32]	-24-	0	0	0	1	0	1	0
[32]	-25-	0	0	0	1	0	1	0
[32]	-26-	0	0	0	1	0	1	0
[32]	-27-	1	0	0	2	0	1	0
[32]	-28-	0	0	0	1	0	1	0
[32]	-29-	0	0	0	1	0	1	0
[33]	-0-	10	0	0	11	0	1	0
[33]	-1-	3	0	0	4	0	1	0
[33]	-2-	0	0	0	1	0	1	0
[33]	-3-	2	0	0	3	0	1	0
[33]	-4-	8	0	0	9	0	1	0
[33]	-5-	17	0	0	18	0	1	0
[33]	-6-	0	0	0	1	0	1	0
[33]	-7-	0	0	0	1	0	1	0
[33]	-8-	7	0	0	8	0	1	0
[33]	-9-	0	0	0	1	0	1	0
[33]	-10-	6	0	0	7	0	1	0
[33]	-11-	14	0	0	15	0	1	0
[33]	-12-	0	0	0	1	0	1	0
[33]	-13-	6	0	0	7	0	1	0
[33]	-14-	2	0	0	3	0	1	0
[33]	-15-	0	0	0	1	0	1	0
[33]	-16-	3	0	0	4	0	1	0
[33]	-17-	0	0	0	1	0	1	0
[33]	-18-	0	0	0	1	0	1	0
[33]	-19-	16	0	0	17	0	1	0
[33]	-20-	6	0	0	7	0	1	0
[33]	-21-	1	0	0	2	0	1	0
[33]	-22-	4	0	0	5	0	1	0
[33]	-23-	0	0	0	1	0	1	0
[33]	-24-	0	0	0	1	0	1	0
[33]	-25-	11	0	0	12	0	1	0
[33]	-26-	1	0	0	2	0	1	0
[33]	-27-	27	0	0	28	0	1	0
[33]	-28-	2	0	0	3	0	1	0
[33]	-29-	0	0	0	1	0	1	0
[30]	-0-	1	0	0	2	0	1	0
[30]	-1-	0	0	0	1	0	1	0
[30]	-2-	3	0	0	4	0	1	0
[26]	-0-	6	0	0	7	0	1	0
[26]	-1-	1	0	0	2	0	1	0
[26]	-2-	2	0	0	3	0	1	0
[28]	-0-	2	0	0	3	0	1	0
[28]	-1-	0	0	0	1	0	1	0
[22]	-0-	3	0	0	4	0	1	0
[25]	-0-	5	0	0	6	0	1	0
[19]	-0-	2	0	0	3	0	1	0
[16]	-0-	7	0	0	8	0	1	0
[18]	-0-	6	0	0	7	0	1	0
[29]	-0-	6	0	0	7	0	1	0
[4]	-0-	3	0	0	4	0	1	0
[6]	-0-	7	0	0	8	0	1	0
[21]	-0-	0	0	0	1	0	1	0
[24]	-0-	9	0	0	10	0	1	0
[34]	-0-	57	0	1	80	6	0	1
