exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_13_	|(69,33).0	|0	|0
O_Pin	|OPIN(69,33)	|(69,33).1	|500	|500
CHAN_Y	|	|(68,33).5	|500	|1000
CHAN_Y	|	|(68,34).5	|500	|1500
CHAN_Y	|	|(68,35).5	|500	|2000
CHAN_Y	|	|(68,36).5	|500	|2500
CHAN_Y	|	|(68,37).5	|500	|3000
CHAN_X	|	|(68,37).5	|500	|3500
CHAN_X	|	|(67,37).5	|500	|4000
CHAN_X	|	|(66,37).5	|500	|4500
CHAN_X	|	|(65,37).5	|500	|5000
CHAN_X	|	|(64,37).5	|500	|5500
CHAN_X	|	|(63,37).5	|500	|6000
CHAN_X	|	|(62,37).5	|500	|6500
CHAN_X	|	|(61,37).5	|500	|7000
CHAN_Y	|	|(60,38).5	|500	|7500
CHAN_X	|	|(60,38).5	|500	|8000
CHAN_X	|	|(59,38).5	|500	|8500
CHAN_X	|	|(58,38).5	|500	|9000
CHAN_X	|	|(57,38).5	|500	|9500
CHAN_Y	|	|(56,38).5	|500	|10000
CHAN_Y	|	|(56,37).5	|500	|10500
CHAN_Y	|	|(56,36).5	|500	|11000
CHAN_Y	|	|(56,35).5	|500	|11500
I_Pin	|IPIN(56,35).3	|(56,35).3	|500	|12000
CLB(comb)	|[41]	|(56,35)	|7300	|19300
O_Pin	|OPIN(56,35)	|(56,35).1	|0	|19300
CHAN_X	|	|(56,34).0	|500	|19800
CHAN_X	|	|(55,34).0	|500	|20300
CHAN_X	|	|(54,34).0	|500	|20800
CHAN_X	|	|(53,34).0	|500	|21300
CHAN_X	|	|(52,34).0	|500	|21800
CHAN_X	|	|(51,34).0	|500	|22300
CHAN_Y	|	|(50,34).0	|500	|22800
CHAN_Y	|	|(50,33).0	|500	|23300
CHAN_Y	|	|(50,32).0	|500	|23800
CHAN_Y	|	|(50,31).0	|500	|24300
CHAN_X	|	|(50,30).0	|500	|24800
CHAN_X	|	|(49,30).0	|500	|25300
CHAN_X	|	|(48,30).0	|500	|25800
CHAN_X	|	|(47,30).0	|500	|26300
CHAN_X	|	|(46,30).0	|500	|26800
CHAN_X	|	|(45,30).0	|500	|27300
CHAN_X	|	|(44,30).0	|500	|27800
CHAN_X	|	|(43,30).0	|500	|28300
CHAN_Y	|	|(42,30).0	|500	|28800
CHAN_X	|	|(42,29).0	|500	|29300
CHAN_X	|	|(41,29).0	|500	|29800
CHAN_X	|	|(40,29).0	|500	|30300
CHAN_X	|	|(39,29).0	|500	|30800
CHAN_X	|	|(38,29).0	|500	|31300
CHAN_X	|	|(37,29).0	|500	|31800
CHAN_X	|	|(36,29).0	|500	|32300
CHAN_X	|	|(35,29).0	|500	|32800
CHAN_X	|	|(34,29).0	|500	|33300
CHAN_X	|	|(33,29).0	|500	|33800
CHAN_X	|	|(32,29).0	|500	|34300
CHAN_X	|	|(31,29).0	|500	|34800
CHAN_Y	|	|(30,29).0	|500	|35300
CHAN_Y	|	|(30,28).0	|500	|35800
CHAN_Y	|	|(30,27).0	|500	|36300
CHAN_Y	|	|(30,26).0	|500	|36800
CHAN_Y	|	|(30,25).0	|500	|37300
CHAN_Y	|	|(30,24).0	|500	|37800
CHAN_Y	|	|(30,23).0	|500	|38300
CHAN_Y	|	|(30,22).0	|500	|38800
CHAN_Y	|	|(30,21).0	|500	|39300
CHAN_Y	|	|(30,20).0	|500	|39800
CHAN_Y	|	|(30,19).0	|500	|40300
CHAN_Y	|	|(30,18).0	|500	|40800
CHAN_Y	|	|(30,17).0	|500	|41300
CHAN_X	|	|(31,16).0	|500	|41800
CHAN_X	|	|(32,16).0	|500	|42300
CHAN_X	|	|(33,16).0	|500	|42800
CHAN_X	|	|(34,16).0	|500	|43300
I_Pin	|IPIN(34,17).0	|(34,17).0	|500	|43800
CLB(comb)	|[2804]	|(34,17)	|33900	|77700
O_Pin	|OPIN(34,17)	|(34,17).1	|0	|77700
CHAN_X	|	|(34,16).17	|500	|78200
I_Pin	|IPIN(34,16).2	|(34,16).2	|500	|78700
CLB(comb)	|n_n1111	|(34,16)	|35400	|114100
O_Pin	|OPIN(34,16)	|(34,16).1	|0	|114100
CHAN_Y	|	|(34,16).11	|500	|114600
CHAN_X	|	|(35,15).11	|500	|115100
CHAN_Y	|	|(35,15).11	|500	|115600
I_Pin	|IPIN(36,15).1	|(36,15).1	|500	|116100
CLB(comb)	|n_n1089	|(36,15)	|900	|117000
O_Pin	|OPIN(36,15)	|(36,15).1	|0	|117000
CHAN_X	|	|(36,14).0	|500	|117500
CHAN_Y	|	|(35,14).0	|500	|118000
CHAN_Y	|	|(35,13).0	|500	|118500
CHAN_Y	|	|(35,12).0	|500	|119000
CHAN_Y	|	|(35,11).0	|500	|119500
CHAN_Y	|	|(35,10).0	|500	|120000
CHAN_Y	|	|(35,9).0	|500	|120500
I_Pin	|IPIN(36,9).1	|(36,9).1	|500	|121000
CLB(comb)	|[22331]	|(36,9)	|900	|121900
O_Pin	|OPIN(36,9)	|(36,9).1	|0	|121900
CHAN_Y	|	|(36,9).18	|500	|122400
I_Pin	|IPIN(37,9).1	|(37,9).1	|500	|122900
CLB(comb)	|o_5_	|(37,9)	|36300	|159200
O_Pin	|OPIN(37,9)	|(37,9).1	|0	|159200
CHAN_Y	|	|(37,9).16	|500	|159700
CHAN_Y	|	|(37,8).16	|500	|160200
CHAN_Y	|	|(37,7).16	|500	|160700
CHAN_Y	|	|(37,6).16	|500	|161200
CHAN_Y	|	|(37,5).16	|500	|161700
CHAN_Y	|	|(37,4).16	|500	|162200
CHAN_Y	|	|(37,3).16	|500	|162700
