

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[34]	-0-	20230	16	1	22719	672	0	0
[18]	-0-	781	0	1	841	16	0	0
[31]	-0-	278	0	1	331	14	0	0
[16]	-0-	614	0	1	712	25	0	0
[55]	-0-	11302	0	1	12656	359	0	0
[40]	-0-	200	0	1	232	9	0	0
[37]	-0-	530	0	1	630	26	0	0
[54]	-0-	8242	0	1	9652	374	0	0
[22]	-0-	19	0	1	31	3	0	0
[53]	-0-	32	0	1	47	4	0	0
[21]	-0-	56	0	1	68	3	0	0
[52]	-0-	13464	0	1	15456	523	0	0
[28]	-0-	5601	0	1	6278	179	0	0
[51]	-0-	6969	0	1	8245	340	0	0
[25]	-0-	450	0	1	564	30	0	0
[50]	-0-	139	0	1	182	11	0	0
[49]	-0-	6238	0	1	7409	311	0	0
[46]	-0-	304	0	1	423	30	0	0
[43]	-0-	54	0	1	77	6	0	0
[38]	-0-	112	0	1	150	10	0	0
[41]	-0-	1285	0	1	1656	100	0	0
[47]	-0-	5892	0	1	6808	243	0	0
[35]	-0-	286	0	1	342	15	0	0
[26]	-0-	183	0	1	215	8	0	0
[29]	-0-	34	0	1	39	1	0	0
[44]	-0-	60	0	1	78	5	0	0
[23]	-0-	1631	0	1	1940	82	0	0
[32]	-0-	308	0	1	421	30	0	0
[20]	-0-	236	0	1	328	25	0	0
[48]	-0-	1241	0	1	1534	77	0	0
[27]	-0-	363	0	1	430	18	0	0
[30]	-0-	63	0	1	90	7	0	0
[39]	-0-	119	0	1	132	4	0	0
[24]	-0-	1655	0	1	1993	89	0	0
[33]	-0-	1613	0	1	1932	85	0	0
[42]	-0-	3072	0	1	3921	227	0	0
[17]	-0-	2460	0	1	3055	160	0	0
[36]	-0-	3575	0	1	4492	246	0	0
[45]	-0-	2432	0	1	3157	195	0	0
[19]	-0-	178	0	1	228	13	0	0
---	---	---	---	---	---	---	---	---
[all]		102301	16	40	119494	4575	0	0
