exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|s298_in_2_	|(20,45).0	|0	|0
O_Pin	|OPIN(20,45)	|(20,45).1	|500	|500
CHAN_X	|	|(20,44).1	|500	|1000
CHAN_X	|	|(19,44).1	|500	|1500
CHAN_Y	|	|(18,44).1	|500	|2000
CHAN_Y	|	|(18,43).1	|500	|2500
CHAN_Y	|	|(18,42).1	|500	|3000
CHAN_X	|	|(18,41).1	|500	|3500
CHAN_Y	|	|(17,41).1	|500	|4000
CHAN_Y	|	|(17,40).1	|500	|4500
CHAN_Y	|	|(17,39).1	|500	|5000
CHAN_Y	|	|(17,38).1	|500	|5500
CHAN_Y	|	|(17,37).1	|500	|6000
CHAN_X	|	|(17,36).1	|500	|6500
CHAN_X	|	|(16,36).1	|500	|7000
CHAN_X	|	|(15,36).1	|500	|7500
CHAN_Y	|	|(14,36).1	|500	|8000
CHAN_X	|	|(14,35).1	|500	|8500
I_Pin	|IPIN(14,35).2	|(14,35).2	|500	|9000
CLB(comb)	|[7622]	|(14,35)	|2300	|11300
O_Pin	|OPIN(14,35)	|(14,35).1	|0	|11300
CHAN_X	|	|(14,34).8	|500	|11800
CHAN_X	|	|(13,34).8	|500	|12300
I_Pin	|IPIN(13,35).0	|(13,35).0	|500	|12800
CLB(comb)	|[7909]	|(13,35)	|7400	|20200
O_Pin	|OPIN(13,35)	|(13,35).1	|0	|20200
CHAN_X	|	|(13,34).2	|500	|20700
CHAN_X	|	|(12,34).2	|500	|21200
I_Pin	|IPIN(12,35).0	|(12,35).0	|500	|21700
CLB(comb)	|[7913]	|(12,35)	|1400	|23100
O_Pin	|OPIN(12,35)	|(12,35).1	|0	|23100
CHAN_Y	|	|(12,35).7	|500	|23600
CHAN_Y	|	|(12,34).7	|500	|24100
I_Pin	|IPIN(13,34).1	|(13,34).1	|500	|24600
CLB(comb)	|[7930]	|(13,34)	|4900	|29500
O_Pin	|OPIN(13,34)	|(13,34).1	|0	|29500
CHAN_X	|	|(13,33).0	|500	|30000
CHAN_X	|	|(12,33).0	|500	|30500
CHAN_X	|	|(11,33).0	|500	|31000
CHAN_Y	|	|(10,33).0	|500	|31500
CHAN_X	|	|(10,32).0	|500	|32000
CHAN_X	|	|(9,32).0	|500	|32500
I_Pin	|IPIN(9,32).2	|(9,32).2	|500	|33000
CLB(comb)	|[7935]	|(9,32)	|900	|33900
O_Pin	|OPIN(9,32)	|(9,32).1	|0	|33900
CHAN_X	|	|(9,31).6	|500	|34400
CHAN_X	|	|(8,31).6	|500	|34900
I_Pin	|IPIN(8,31).2	|(8,31).2	|500	|35400
CLB(comb)	|[7939]	|(8,31)	|4900	|40300
O_Pin	|OPIN(8,31)	|(8,31).1	|0	|40300
CHAN_Y	|	|(8,31).8	|500	|40800
CHAN_Y	|	|(8,30).8	|500	|41300
CHAN_Y	|	|(8,29).8	|500	|41800
CHAN_Y	|	|(8,28).8	|500	|42300
CHAN_Y	|	|(8,27).8	|500	|42800
CHAN_Y	|	|(8,26).8	|500	|43300
CHAN_Y	|	|(8,25).8	|500	|43800
CHAN_Y	|	|(8,24).8	|500	|44300
CHAN_Y	|	|(8,23).8	|500	|44800
CHAN_Y	|	|(8,22).8	|500	|45300
CHAN_Y	|	|(8,21).8	|500	|45800
CHAN_Y	|	|(8,20).8	|500	|46300
CHAN_Y	|	|(8,19).8	|500	|46800
I_Pin	|IPIN(8,19).3	|(8,19).3	|500	|47300
CLB(comb)	|[7945]	|(8,19)	|900	|48200
O_Pin	|OPIN(8,19)	|(8,19).1	|0	|48200
CHAN_Y	|	|(8,19).7	|500	|48700
CHAN_Y	|	|(8,18).7	|500	|49200
CHAN_Y	|	|(8,17).7	|500	|49700
I_Pin	|IPIN(8,17).3	|(8,17).3	|500	|50200
CLB(comb)	|[7949]	|(8,17)	|900	|51100
O_Pin	|OPIN(8,17)	|(8,17).1	|0	|51100
CHAN_Y	|	|(8,17).4	|500	|51600
CHAN_Y	|	|(8,16).4	|500	|52100
CHAN_Y	|	|(8,15).4	|500	|52600
CHAN_Y	|	|(8,14).4	|500	|53100
CHAN_X	|	|(9,13).4	|500	|53600
CHAN_X	|	|(10,13).4	|500	|54100
CHAN_X	|	|(11,13).4	|500	|54600
CHAN_Y	|	|(11,13).4	|500	|55100
CHAN_X	|	|(12,12).4	|500	|55600
CHAN_Y	|	|(12,12).4	|500	|56100
CHAN_Y	|	|(12,11).4	|500	|56600
CHAN_Y	|	|(12,10).4	|500	|57100
CHAN_Y	|	|(12,9).4	|500	|57600
CHAN_X	|	|(13,8).4	|500	|58100
CHAN_Y	|	|(13,8).4	|500	|58600
CHAN_X	|	|(14,7).4	|500	|59100
CHAN_X	|	|(15,7).4	|500	|59600
CHAN_X	|	|(16,7).4	|500	|60100
CHAN_X	|	|(17,7).4	|500	|60600
CHAN_X	|	|(18,7).4	|500	|61100
CHAN_X	|	|(19,7).4	|500	|61600
CHAN_X	|	|(20,7).4	|500	|62100
CHAN_Y	|	|(20,7).4	|500	|62600
CHAN_Y	|	|(20,6).4	|500	|63100
CHAN_Y	|	|(20,5).4	|500	|63600
CHAN_Y	|	|(20,4).4	|500	|64100
CHAN_X	|	|(21,3).4	|500	|64600
I_Pin	|IPIN(21,4).0	|(21,4).0	|500	|65100
CLB(comb)	|[7959]	|(21,4)	|900	|66000
O_Pin	|OPIN(21,4)	|(21,4).1	|0	|66000
CHAN_Y	|	|(21,4).4	|500	|66500
CHAN_X	|	|(22,3).4	|500	|67000
CHAN_X	|	|(23,3).4	|500	|67500
CHAN_X	|	|(24,3).4	|500	|68000
