

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[8]	-0-	186	0	1	210	8	0	5
[9]	-0-	48	0	1	53	1	0	0
[26]	-0-	11496	3	0	14536	849	1	3
[34]	-0-	368	0	0	452	23	1	0
[33]	-0-	438	0	0	530	27	1	0
[4]	-0-	12	0	1	13	0	0	0
[6]	-0-	22	0	1	26	1	0	0
[5]	-0-	31	0	1	32	0	0	0
[7]	-0-	18	0	1	19	0	0	0
[24]	-0-	354	0	0	464	31	1	0
[25]	-0-	381	0	0	479	26	1	0
[43]	-0-	20	0	0	21	0	1	0
[53]	-0-	24	0	0	25	0	1	0
[54]	-0-	23	0	0	24	0	1	0
[41]	-0-	25	0	0	26	0	1	0
[42]	-0-	31	0	0	32	0	1	0
[44]	-0-	35	0	0	36	0	1	0
[45]	-0-	24	0	0	25	0	1	0
[46]	-0-	19	0	0	20	0	1	0
[51]	-0-	13	0	0	14	0	1	0
[52]	-0-	18	0	0	19	0	1	0
[10]	-0-	16	0	0	17	0	1	0
[35]	-0-	3272	0	0	4471	327	1	0
[39]	-0-	1609	0	0	2279	185	1	0
[28]	-0-	228	0	0	318	23	1	0
[37]	-0-	284	0	0	387	28	1	0
[38]	-0-	237	0	0	336	29	1	0
[30]	-0-	2152	0	0	3178	284	1	0
[29]	-0-	267	0	0	368	28	1	0
[31]	-0-	404	0	0	596	53	1	0
---	---	---	---	---	---	---	---	---
[all]		22055	3	6	29006	1923	24	8
