

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[20]	-0-	2	1	1	4	1	0	0
[22]	-0-	2	1	1	4	1	0	0
[24]	-0-	3	1	1	5	1	0	0
[26]	-0-	2	1	1	4	1	0	0
[28]	-0-	3	1	1	5	1	0	0
[30]	-0-	4	1	1	6	1	0	0
[31]	-0-	3	1	1	5	1	0	0
[32]	-0-	3	1	1	5	1	0	0
[27]	-0-	10	2	1	14	1	0	0
[23]	-0-	5	1	1	9	1	0	0
[19]	-0-	4	1	1	8	1	0	0
[17]	-0-	7	1	1	11	1	0	0
[29]	-0-	4	1	1	8	1	0	0
[25]	-0-	4	1	1	8	1	0	0
[21]	-0-	5	1	1	9	1	0	0
[18]	-0-	5	1	1	9	1	0	0
---	---	---	---	---	---	---	---	---
[all]		66	17	16	114	16	0	0
