

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[66]	-0-	18	0	1	21	1	0	2
[637]	-0-	533	1	0	699	49	1	36
[874]	-0-	22	0	0	27	1	1	0
[449]	-0-	12	0	0	13	0	1	1
[449]	-1-	0	0	0	1	0	1	0
[449]	-2-	1	0	0	2	0	1	0
[788]	-0-	109	0	0	125	4	1	7
[406]	-0-	2	0	0	3	0	1	1
[283]	-0-	1	0	0	2	0	1	1
[115]	-0-	17	1	0	21	1	1	2
[115]	-1-	6	0	1	7	0	0	0
[824]	-0-	107	0	0	134	7	1	16
[638]	-0-	93	0	0	119	7	1	5
[782]	-0-	120	1	0	129	2	1	5
[689]	-0-	55	0	0	75	6	1	2
[826]	-0-	13	0	0	18	1	1	0
[516]	-0-	47	0	0	52	1	1	1
[302]	-0-	0	0	0	1	0	1	0
[451]	-0-	9	0	0	10	0	1	1
[451]	-1-	1	0	0	2	0	1	0
[451]	-2-	1	0	0	2	0	1	0
[451]	-3-	0	0	0	1	0	1	0
[214]	-0-	2	0	0	3	0	1	1
[194]	-0-	1	0	0	2	0	1	1
[531]	-0-	214	0	0	310	25	1	2
[422]	-0-	42	0	0	46	1	1	2
[422]	-1-	2	0	0	3	0	1	0
[422]	-2-	0	0	0	1	0	1	0
[422]	-3-	17	0	0	18	0	1	0
[422]	-4-	2	0	0	3	0	1	0
[422]	-5-	1	0	0	2	0	1	0
[422]	-6-	5	0	0	6	0	1	0
[422]	-7-	0	0	0	1	0	1	0
[98]	-0-	17	1	0	21	1	1	2
[98]	-1-	3	0	1	4	0	0	0
[739]	-0-	23	0	0	28	1	1	1
[575]	-0-	6	0	0	7	0	1	0
[634]	-0-	33	0	0	38	1	1	3
[361]	-0-	1	0	0	2	0	1	1
[640]	-0-	9	0	0	10	0	1	1
[640]	-1-	2	0	0	3	0	1	0
[640]	-2-	1	0	0	2	0	1	0
[151]	-0-	14	0	1	17	1	0	2
[216]	-0-	1	0	0	2	0	1	1
[136]	-0-	16	0	1	19	1	0	2
[517]	-0-	10	0	0	11	0	1	1
[517]	-1-	8	0	0	9	0	1	0
[517]	-2-	1	0	0	2	0	1	0
[517]	-3-	0	0	0	1	0	1	0
[572]	-0-	1	0	0	2	0	1	1
[572]	-1-	8	0	0	9	0	1	0
[99]	-0-	6	0	1	9	1	0	2
[751]	-0-	3	0	0	4	0	1	0
[690]	-0-	26	0	0	37	3	1	0
[781]	-0-	3	0	0	8	1	1	1
[514]	-0-	34	0	0	39	1	1	3
[725]	-0-	59	0	0	79	6	1	6
[679]	-0-	27	0	0	32	1	1	0
[766]	-0-	2	0	0	3	0	1	1
[766]	-1-	3	0	0	4	0	1	0
[738]	-0-	18	0	0	23	1	1	1
[464]	-0-	5	0	0	6	0	1	0
[464]	-1-	2	0	0	3	0	1	0
[55]	-0-	13	0	1	16	1	0	1
[265]	-0-	1	0	0	2	0	1	1
[445]	-0-	2	0	0	3	0	1	1
[445]	-1-	8	0	0	9	0	1	0
[206]	-0-	1	0	0	2	0	1	1
[64]	-0-	22	1	0	26	1	1	2
[64]	-1-	2	0	1	3	0	0	0
[912]	-0-	17	0	0	24	2	1	0
[583]	-0-	12	0	0	13	0	1	1
[583]	-1-	1	0	0	2	0	1	0
[583]	-2-	12	0	0	13	0	1	0
[255]	-0-	1	0	0	2	0	1	1
[269]	-0-	0	0	0	1	0	1	0
[314]	-0-	1	0	0	2	0	1	1
[680]	-0-	723	0	0	929	59	1	28
[595]	-0-	14	0	0	15	0	1	0
[467]	-0-	2	0	0	3	0	1	0
[242]	-0-	1	0	0	2	0	1	1
[308]	-0-	2	0	0	3	0	1	1
[220]	-0-	2	0	0	3	0	1	1
[339]	-0-	1	0	0	2	0	1	1
[158]	-0-	9	0	1	12	1	0	2
[585]	-0-	9	0	0	12	1	1	0
[585]	-1-	1	0	0	2	0	1	0
[530]	-0-	12	0	0	17	1	1	0
[530]	-1-	2	0	0	3	0	1	0
[530]	-2-	4	0	0	5	0	1	0
[530]	-3-	6	0	0	7	0	1	0
[597]	-0-	44	0	0	49	1	1	1
[52]	-0-	11	0	1	14	1	0	2
[70]	-0-	6	1	1	10	1	0	2
[70]	-1-	25	0	0	26	0	1	0
[494]	-0-	6	0	0	7	0	1	0
[494]	-1-	4	0	0	5	0	1	0
[494]	-2-	4	0	0	5	0	1	0
[528]	-0-	14	0	0	19	1	1	0
[317]	-0-	1	0	0	2	0	1	1
[416]	-0-	1	0	0	2	0	1	1
[607]	-0-	2	0	0	3	0	1	0
[372]	-0-	1	0	0	2	0	1	0
[515]	-0-	11	0	0	12	0	1	0
