exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|p_2105_221_	|(21,0).1	|0	|0
O_Pin	|OPIN(21,0)	|(21,0).1	|500	|500
CHAN_X	|	|(21,0).1	|500	|1000
CHAN_X	|	|(20,0).1	|500	|1500
CHAN_Y	|	|(19,1).1	|500	|2000
CHAN_Y	|	|(19,2).1	|500	|2500
CHAN_X	|	|(19,2).1	|500	|3000
CHAN_X	|	|(18,2).1	|500	|3500
CHAN_Y	|	|(17,3).1	|500	|4000
CHAN_X	|	|(17,3).1	|500	|4500
CHAN_X	|	|(16,3).1	|500	|5000
CHAN_X	|	|(15,3).1	|500	|5500
CHAN_X	|	|(14,3).1	|500	|6000
CHAN_Y	|	|(13,4).1	|500	|6500
CHAN_X	|	|(13,4).1	|500	|7000
CHAN_X	|	|(12,4).1	|500	|7500
CHAN_Y	|	|(11,5).1	|500	|8000
CHAN_Y	|	|(11,6).1	|500	|8500
CHAN_X	|	|(12,6).1	|500	|9000
CHAN_Y	|	|(12,7).1	|500	|9500
CHAN_Y	|	|(12,8).1	|500	|10000
CHAN_Y	|	|(12,9).1	|500	|10500
I_Pin	|IPIN(13,9).1	|(13,9).1	|500	|11000
CLB(comb)	|[1671]	|(13,9)	|900	|11900
O_Pin	|OPIN(13,9)	|(13,9).1	|0	|11900
CHAN_Y	|	|(13,9).2	|500	|12400
CHAN_Y	|	|(13,10).2	|500	|12900
I_Pin	|IPIN(14,10).1	|(14,10).1	|500	|13400
CLB(comb)	|p_164_607_	|(14,10)	|2400	|15800
O_Pin	|OPIN(14,10)	|(14,10).1	|0	|15800
CHAN_Y	|	|(14,10).2	|500	|16300
CHAN_X	|	|(15,9).2	|500	|16800
CHAN_Y	|	|(15,10).2	|500	|17300
CHAN_Y	|	|(15,11).2	|500	|17800
CHAN_Y	|	|(15,12).2	|500	|18300
I_Pin	|IPIN(16,12).1	|(16,12).1	|500	|18800
CLB(comb)	|[191]	|(16,12)	|3900	|22700
O_Pin	|OPIN(16,12)	|(16,12).1	|0	|22700
CHAN_Y	|	|(16,12).7	|500	|23200
CHAN_Y	|	|(16,13).7	|500	|23700
CHAN_Y	|	|(16,14).7	|500	|24200
CHAN_X	|	|(17,14).7	|500	|24700
I_Pin	|IPIN(17,14).2	|(17,14).2	|500	|25200
CLB(comb)	|[1784]	|(17,14)	|900	|26100
O_Pin	|OPIN(17,14)	|(17,14).1	|0	|26100
CHAN_X	|	|(17,13).4	|500	|26600
CHAN_Y	|	|(16,14).4	|500	|27100
CHAN_X	|	|(16,14).4	|500	|27600
CHAN_X	|	|(15,14).4	|500	|28100
CHAN_X	|	|(14,14).4	|500	|28600
CHAN_Y	|	|(13,14).4	|500	|29100
I_Pin	|IPIN(14,14).1	|(14,14).1	|500	|29600
CLB(comb)	|n_n208	|(14,14)	|900	|30500
O_Pin	|OPIN(14,14)	|(14,14).1	|0	|30500
CHAN_X	|	|(14,13).7	|500	|31000
CHAN_Y	|	|(13,14).7	|500	|31500
CHAN_Y	|	|(13,15).7	|500	|32000
CHAN_Y	|	|(13,16).7	|500	|32500
CHAN_Y	|	|(13,17).7	|500	|33000
CHAN_X	|	|(13,17).7	|500	|33500
CHAN_Y	|	|(12,18).7	|500	|34000
CHAN_X	|	|(12,18).7	|500	|34500
CHAN_X	|	|(11,18).7	|500	|35000
CHAN_Y	|	|(10,19).7	|500	|35500
CHAN_X	|	|(10,19).7	|500	|36000
CHAN_X	|	|(9,19).7	|500	|36500
CHAN_Y	|	|(8,19).7	|500	|37000
CHAN_Y	|	|(8,18).7	|500	|37500
CHAN_Y	|	|(8,17).7	|500	|38000
CHAN_X	|	|(8,16).7	|500	|38500
CHAN_Y	|	|(7,16).7	|500	|39000
CHAN_X	|	|(7,15).7	|500	|39500
CHAN_X	|	|(6,15).7	|500	|40000
CHAN_Y	|	|(5,15).7	|500	|40500
CHAN_Y	|	|(5,14).7	|500	|41000
CHAN_Y	|	|(5,13).7	|500	|41500
CHAN_Y	|	|(5,12).7	|500	|42000
CHAN_Y	|	|(5,11).7	|500	|42500
CHAN_X	|	|(5,10).7	|500	|43000
CHAN_X	|	|(4,10).7	|500	|43500
CHAN_Y	|	|(3,10).7	|500	|44000
CHAN_Y	|	|(3,9).7	|500	|44500
CHAN_X	|	|(4,8).7	|500	|45000
CHAN_Y	|	|(4,8).7	|500	|45500
CHAN_X	|	|(5,7).7	|500	|46000
CHAN_X	|	|(6,7).7	|500	|46500
CHAN_X	|	|(7,7).7	|500	|47000
CHAN_X	|	|(8,7).7	|500	|47500
I_Pin	|IPIN(8,8).0	|(8,8).0	|500	|48000
CLB(comb)	|[1794]	|(8,8)	|900	|48900
O_Pin	|OPIN(8,8)	|(8,8).1	|0	|48900
CHAN_X	|	|(8,7).5	|500	|49400
CHAN_Y	|	|(7,8).5	|500	|49900
CHAN_Y	|	|(7,9).5	|500	|50400
CHAN_Y	|	|(7,10).5	|500	|50900
CHAN_Y	|	|(7,11).5	|500	|51400
CHAN_Y	|	|(7,12).5	|500	|51900
CHAN_Y	|	|(7,13).5	|500	|52400
CHAN_Y	|	|(7,14).5	|500	|52900
CHAN_X	|	|(7,14).5	|500	|53400
CHAN_Y	|	|(6,15).5	|500	|53900
I_Pin	|IPIN(7,15).1	|(7,15).1	|500	|54400
CLB(comb)	|p_329_1414_	|(7,15)	|14900	|69300
O_Pin	|OPIN(7,15)	|(7,15).1	|0	|69300
CHAN_X	|	|(7,14).0	|500	|69800
CHAN_X	|	|(6,14).0	|500	|70300
CHAN_X	|	|(5,14).0	|500	|70800
CHAN_X	|	|(4,14).0	|500	|71300
