

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[178]	-0-	202	13	1	219	4	0	0
[28]	-0-	35	1	1	39	1	0	0
[358]	-0-	23	1	1	25	1	0	0
[86]	-0-	226	11	1	251	7	0	0
[37]	-0-	100	5	1	112	3	0	0
[385]	-0-	47	2	1	51	1	0	0
[158]	-0-	107	6	1	118	3	0	0
[133]	-0-	88	4	1	99	3	0	0
[122]	-0-	48	2	1	51	1	0	0
[205]	-0-	25	1	1	27	1	0	0
[121]	-0-	2214	83	1	2529	79	0	0
[293]	-0-	23	0	1	27	1	0	0
[186]	-0-	112	5	1	131	5	0	0
[168]	-0-	22	0	1	31	3	0	0
[369]	-0-	18	0	1	21	1	0	0
[155]	-0-	38	0	1	48	3	0	0
[101]	-0-	18	0	1	20	1	0	0
[379]	-0-	35	0	1	37	1	0	0
[106]	-0-	9	0	1	11	1	0	0
[150]	-0-	16	0	1	19	1	0	0
[25]	-0-	15	0	1	17	1	0	0
[48]	-0-	167	1	1	192	8	0	0
[263]	-0-	12	0	1	14	1	0	0
[248]	-0-	152	1	1	183	8	0	0
[367]	-0-	13	0	1	15	1	0	0
[319]	-0-	42	2	1	50	2	0	0
[94]	-0-	18	0	1	23	1	0	0
[183]	-0-	11	0	1	13	1	0	0
[275]	-0-	10	0	1	13	1	0	0
[303]	-0-	44	0	1	58	5	0	0
[184]	-0-	80	2	1	87	2	0	0
[109]	-0-	9	0	1	12	1	0	0
[413]	-0-	22	0	1	24	1	0	0
[247]	-0-	17	0	1	19	1	0	0
[411]	-0-	17	0	1	20	1	0	0
[201]	-0-	32	0	1	36	1	0	0
[130]	-0-	12	0	1	13	1	0	0
[270]	-0-	18	0	1	21	1	0	0
[79]	-0-	11	0	1	13	1	0	0
[99]	-0-	12	0	1	14	1	0	0
[73]	-0-	507	14	1	602	29	0	0
[212]	-0-	14	0	1	18	1	0	0
[82]	-0-	779	3	1	962	51	0	0
[83]	-0-	6	0	1	7	0	0	0
[333]	-0-	17	0	1	18	0	0	0
[36]	-0-	14	0	1	16	1	0	0
[326]	-0-	12	0	1	14	1	0	0
[105]	-0-	29	0	1	34	1	0	0
[284]	-0-	14	0	1	17	1	0	0
[135]	-0-	13	0	1	16	1	0	0
[198]	-0-	12	0	1	15	1	0	0
[115]	-0-	9	0	1	11	1	0	0
[90]	-0-	19	0	1	20	0	0	0
[282]	-0-	7	0	1	9	1	0	0
[325]	-0-	12	0	1	13	0	0	0
[24]	-0-	12	0	1	14	1	0	0
[96]	-0-	13	0	1	16	1	0	0
[376]	-0-	11	0	1	13	1	0	0
[253]	-0-	7	0	1	9	1	0	0
[120]	-0-	36	0	1	41	1	0	0
[136]	-0-	13	0	1	16	1	0	0
[139]	-0-	9	0	1	11	1	0	0
[242]	-0-	22	0	1	25	1	0	0
[69]	-0-	16	0	1	19	1	0	0
---	---	---	---	---	---	---	---	---
[all]		5723	157	64	6639	259	0	0
