

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[14]	-0-	41	3	1	48	2	0	2
[35]	-0-	31	1	0	36	1	1	1
[2]	-0-	41	0	0	59	5	1	1
[28]	-0-	5	0	0	9	1	1	0
[21]	-0-	18	0	0	26	2	1	0
[1]	-0-	20	0	0	28	2	1	0
[5]	-0-	10	0	1	18	2	0	0
[26]	-0-	3	0	0	4	0	1	0
[27]	-0-	12	0	0	20	2	1	0
[7]	-0-	0	0	0	1	0	1	0
[16]	-0-	3	0	0	8	1	1	0
[3]	-0-	5	0	0	8	1	1	0
[36]	-0-	18	0	0	30	3	1	0
[6]	-0-	5	0	0	10	1	1	0
[9]	-0-	22	0	0	33	4	1	0
[18]	-0-	11	0	0	20	2	1	0
---	---	---	---	---	---	---	---	---
[all]		245	4	2	358	29	14	4
