exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_2_	|(7,13).1	|0	|0
O_Pin	|OPIN(7,13)	|(7,13).1	|500	|500
CHAN_X	|	|(7,12).1	|500	|1000
CHAN_X	|	|(8,12).1	|500	|1500
CHAN_X	|	|(9,12).1	|500	|2000
CHAN_Y	|	|(9,12).1	|500	|2500
CHAN_Y	|	|(9,11).1	|500	|3000
CHAN_X	|	|(9,10).1	|500	|3500
CHAN_Y	|	|(8,10).1	|500	|4000
CHAN_Y	|	|(8,9).1	|500	|4500
CHAN_Y	|	|(8,8).1	|500	|5000
CHAN_Y	|	|(8,7).1	|500	|5500
CHAN_X	|	|(8,6).1	|500	|6000
CHAN_Y	|	|(7,7).1	|500	|6500
I_Pin	|IPIN(7,7).3	|(7,7).3	|500	|7000
CLB(comb)	|[40]	|(7,7)	|900	|7900
O_Pin	|OPIN(7,7)	|(7,7).1	|0	|7900
CHAN_X	|	|(7,6).1	|500	|8400
CHAN_Y	|	|(6,6).1	|500	|8900
CHAN_X	|	|(7,5).1	|500	|9400
CHAN_X	|	|(8,5).1	|500	|9900
CHAN_X	|	|(9,5).1	|500	|10400
CHAN_X	|	|(10,5).1	|500	|10900
CHAN_Y	|	|(10,5).1	|500	|11400
CHAN_Y	|	|(10,4).1	|500	|11900
CHAN_X	|	|(10,3).1	|500	|12400
I_Pin	|IPIN(10,3).2	|(10,3).2	|500	|12900
CLB(comb)	|[31]	|(10,3)	|8400	|21300
O_Pin	|OPIN(10,3)	|(10,3).1	|0	|21300
CHAN_X	|	|(10,2).4	|500	|21800
CHAN_Y	|	|(10,2).4	|500	|22300
CHAN_Y	|	|(10,1).4	|500	|22800
CHAN_X	|	|(10,0).4	|500	|23300
CHAN_X	|	|(9,0).4	|500	|23800
CHAN_X	|	|(8,0).4	|500	|24300
CHAN_Y	|	|(7,1).4	|500	|24800
CHAN_Y	|	|(7,2).4	|500	|25300
I_Pin	|IPIN(7,2).3	|(7,2).3	|500	|25800
CLB(comb)	|o_4_	|(7,2)	|900	|26700
O_Pin	|OPIN(7,2)	|(7,2).1	|0	|26700
CHAN_X	|	|(7,1).5	|500	|27200
CHAN_Y	|	|(7,1).5	|500	|27700
CHAN_X	|	|(7,0).5	|500	|28200
CHAN_X	|	|(6,0).5	|500	|28700
I_Pin	|IPIN(6,0).0	|(6,0).0	|500	|29200
Out_Block	|out:o_4_	|(6,0).0	|300	|29500
