

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[84]	-0-	167	5	1	206	11	0	0
[70]	-0-	73	0	1	89	4	0	0
[85]	-0-	61	0	1	85	6	0	0
[117]	-0-	91	0	1	125	10	0	0
[25]	-0-	29	0	1	37	2	0	0
[73]	-0-	118	0	1	162	13	0	0
[55]	-0-	64	0	1	92	8	0	0
[49]	-0-	12	0	1	21	2	0	0
[17]	-0-	19	0	1	28	2	0	0
[109]	-0-	8	0	1	9	0	0	0
[3]	-0-	40	0	1	57	5	0	0
[74]	-0-	41	0	1	63	6	0	0
[60]	-0-	48	0	1	68	6	0	0
[48]	-0-	4	0	1	7	1	0	0
[56]	-0-	45	0	1	65	5	0	0
[18]	-0-	33	0	1	51	5	0	0
[34]	-0-	32	0	1	52	5	0	0
[67]	-0-	44	0	1	67	6	0	0
[1]	-0-	7	0	1	10	1	0	0
[134]	-0-	21	0	1	36	4	0	0
[38]	-0-	15	0	1	24	2	0	0
[61]	-0-	30	0	1	48	5	0	0
[92]	-0-	1	0	1	2	0	0	0
[94]	-0-	16	0	1	25	3	0	0
[41]	-0-	17	0	1	29	3	0	0
[102]	-0-	47	0	1	76	8	0	0
[5]	-0-	20	0	1	33	3	0	0
[10]	-0-	43	0	1	66	6	0	0
---	---	---	---	---	---	---	---	---
[all]		1146	5	28	1633	132	0	0
