exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|pi21	|(40,0).0	|0	|0
O_Pin	|OPIN(40,0)	|(40,0).1	|500	|500
CHAN_X	|	|(40,0).14	|500	|1000
CHAN_Y	|	|(40,1).14	|500	|1500
CHAN_Y	|	|(40,2).14	|500	|2000
CHAN_X	|	|(41,2).14	|500	|2500
CHAN_Y	|	|(41,3).14	|500	|3000
CHAN_X	|	|(42,3).14	|500	|3500
CHAN_X	|	|(43,3).14	|500	|4000
CHAN_X	|	|(44,3).14	|500	|4500
CHAN_X	|	|(45,3).14	|500	|5000
CHAN_Y	|	|(45,4).14	|500	|5500
CHAN_X	|	|(46,4).14	|500	|6000
CHAN_X	|	|(47,4).14	|500	|6500
CHAN_X	|	|(48,4).14	|500	|7000
CHAN_X	|	|(49,4).14	|500	|7500
CHAN_X	|	|(50,4).14	|500	|8000
CHAN_X	|	|(51,4).14	|500	|8500
CHAN_X	|	|(52,4).14	|500	|9000
CHAN_Y	|	|(52,5).14	|500	|9500
CHAN_Y	|	|(52,6).14	|500	|10000
CHAN_Y	|	|(52,7).14	|500	|10500
CHAN_Y	|	|(52,8).14	|500	|11000
CHAN_Y	|	|(52,9).14	|500	|11500
CHAN_Y	|	|(52,10).14	|500	|12000
CHAN_Y	|	|(52,11).14	|500	|12500
CHAN_X	|	|(53,11).14	|500	|13000
CHAN_Y	|	|(53,12).14	|500	|13500
CHAN_Y	|	|(53,13).14	|500	|14000
CHAN_Y	|	|(53,14).14	|500	|14500
CHAN_Y	|	|(53,15).14	|500	|15000
CHAN_Y	|	|(53,16).14	|500	|15500
CHAN_Y	|	|(53,17).14	|500	|16000
CHAN_Y	|	|(53,18).14	|500	|16500
CHAN_Y	|	|(53,19).14	|500	|17000
CHAN_X	|	|(54,19).14	|500	|17500
CHAN_X	|	|(55,19).14	|500	|18000
CHAN_Y	|	|(55,20).14	|500	|18500
CHAN_Y	|	|(55,21).14	|500	|19000
CHAN_Y	|	|(55,22).14	|500	|19500
CHAN_Y	|	|(55,23).14	|500	|20000
CHAN_Y	|	|(55,24).14	|500	|20500
CHAN_Y	|	|(55,25).14	|500	|21000
CHAN_X	|	|(55,25).14	|500	|21500
CHAN_Y	|	|(54,26).14	|500	|22000
CHAN_Y	|	|(54,27).14	|500	|22500
CHAN_Y	|	|(54,28).14	|500	|23000
CHAN_X	|	|(54,28).14	|500	|23500
CHAN_X	|	|(53,28).14	|500	|24000
CHAN_X	|	|(52,28).14	|500	|24500
I_Pin	|IPIN(52,28).2	|(52,28).2	|500	|25000
CLB(comb)	|[611]	|(52,28)	|85900	|110900
O_Pin	|OPIN(52,28)	|(52,28).1	|0	|110900
CHAN_Y	|	|(52,28).3	|500	|111400
CHAN_Y	|	|(52,27).3	|500	|111900
CHAN_Y	|	|(52,26).3	|500	|112400
CHAN_X	|	|(53,25).3	|500	|112900
CHAN_Y	|	|(53,25).3	|500	|113400
CHAN_Y	|	|(53,24).3	|500	|113900
CHAN_Y	|	|(53,23).3	|500	|114400
CHAN_Y	|	|(53,22).3	|500	|114900
CHAN_Y	|	|(53,21).3	|500	|115400
CHAN_Y	|	|(53,20).3	|500	|115900
CHAN_Y	|	|(53,19).3	|500	|116400
CHAN_Y	|	|(53,18).3	|500	|116900
CHAN_Y	|	|(53,17).3	|500	|117400
CHAN_Y	|	|(53,16).3	|500	|117900
CHAN_Y	|	|(53,15).3	|500	|118400
I_Pin	|IPIN(53,15).3	|(53,15).3	|500	|118900
CLB(comb)	|[33738]	|(53,15)	|900	|119800
O_Pin	|OPIN(53,15)	|(53,15).1	|0	|119800
CHAN_Y	|	|(53,15).5	|500	|120300
CHAN_Y	|	|(53,14).5	|500	|120800
CHAN_Y	|	|(53,13).5	|500	|121300
CHAN_X	|	|(53,12).5	|500	|121800
CHAN_X	|	|(52,12).5	|500	|122300
CHAN_X	|	|(51,12).5	|500	|122800
I_Pin	|IPIN(51,12).2	|(51,12).2	|500	|123300
CLB(comb)	|[3036]	|(51,12)	|14300	|137600
O_Pin	|OPIN(51,12)	|(51,12).1	|0	|137600
CHAN_X	|	|(51,11).10	|500	|138100
CHAN_X	|	|(50,11).10	|500	|138600
CHAN_Y	|	|(49,11).10	|500	|139100
CHAN_Y	|	|(49,10).10	|500	|139600
CHAN_X	|	|(49,9).10	|500	|140100
CHAN_Y	|	|(48,9).10	|500	|140600
I_Pin	|IPIN(48,9).3	|(48,9).3	|500	|141100
CLB(comb)	|[33769]	|(48,9)	|110200	|251300
O_Pin	|OPIN(48,9)	|(48,9).1	|0	|251300
CHAN_X	|	|(48,8).3	|500	|251800
CHAN_X	|	|(47,8).3	|500	|252300
CHAN_X	|	|(46,8).3	|500	|252800
CHAN_X	|	|(45,8).3	|500	|253300
CHAN_Y	|	|(44,9).3	|500	|253800
CHAN_X	|	|(44,9).3	|500	|254300
CHAN_X	|	|(43,9).3	|500	|254800
CHAN_Y	|	|(42,10).3	|500	|255300
CHAN_X	|	|(42,10).3	|500	|255800
I_Pin	|IPIN(42,11).0	|(42,11).0	|500	|256300
CLB(comb)	|nv6450	|(42,11)	|7400	|263700
O_Pin	|OPIN(42,11)	|(42,11).1	|0	|263700
CHAN_X	|	|(42,10).6	|500	|264200
CHAN_X	|	|(41,10).6	|500	|264700
CHAN_X	|	|(40,10).6	|500	|265200
CHAN_Y	|	|(39,10).6	|500	|265700
CHAN_X	|	|(39,9).6	|500	|266200
CHAN_X	|	|(38,9).6	|500	|266700
I_Pin	|IPIN(38,9).2	|(38,9).2	|500	|267200
CLB(comb)	|[33861]	|(38,9)	|900	|268100
