

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[4588]	-0-	4703	4	0	5434	212	1	15
[3853]	-0-	955	0	0	1008	15	1	3
[990]	-0-	17843	8	0	19963	592	1	12
[6571]	-0-	145	0	0	175	9	1	0
[6163]	-0-	939	1	0	979	11	1	0
[5680]	-0-	253	0	0	308	15	1	0
[3091]	-0-	265	0	0	281	5	1	1
[2472]	-0-	1244	0	0	1393	43	1	0
[1594]	-0-	183	0	0	260	22	1	0
[1606]	-0-	15629	0	0	18700	846	1	1
[8438]	-0-	78	0	1	82	2	0	0
[536]	-0-	30	0	1	32	1	0	0
[4097]	-0-	107	0	0	148	12	1	0
[1751]	-0-	221	0	1	225	1	0	0
[8024]	-0-	16	1	1	21	1	0	0
[4254]	-0-	38	1	1	43	1	0	0
[1462]	-0-	7	1	1	12	1	0	0
[1545]	-0-	169	0	1	171	2	0	0
[5758]	-0-	14	1	1	19	1	0	0
[5859]	-0-	32	1	1	37	1	0	0
[4621]	-0-	10	1	1	15	1	0	0
[6076]	-0-	26	1	1	31	1	0	0
[5983]	-0-	31	1	1	36	1	0	0
[4323]	-0-	74	0	0	83	2	1	0
[6913]	-0-	57	0	0	62	1	1	0
[5802]	-0-	35	0	0	40	1	1	0
[8142]	-0-	3	1	1	8	1	0	0
[5816]	-0-	5	1	1	10	1	0	0
[73]	-0-	43	0	1	48	1	0	0
[7178]	-0-	55	0	1	60	1	0	0
[2576]	-0-	8	1	1	13	1	0	0
[2942]	-0-	4	1	1	9	1	0	0
[2428]	-0-	2	0	1	4	1	0	0
[728]	-0-	9	0	1	11	1	0	0
[1762]	-0-	15	0	1	20	1	0	0
[175]	-0-	15	0	1	20	1	0	0
[1181]	-0-	0	0	0	1	0	1	0
[8000]	-0-	3	0	1	5	1	0	0
[1244]	-0-	2	0	1	4	1	0	0
[7557]	-0-	3	0	1	5	1	0	0
[8068]	-0-	3	0	1	5	1	0	0
[409]	-0-	10	1	1	15	1	0	0
[7777]	-0-	17	1	1	22	1	0	0
[5019]	-0-	10	1	1	15	1	0	0
[5201]	-0-	7	1	1	12	1	0	0
[5160]	-0-	4	1	1	9	1	0	0
[2482]	-0-	68	1	1	73	1	0	0
[5634]	-0-	172	1	1	177	1	0	0
[7214]	-0-	28	1	1	33	1	0	0
[5510]	-0-	9	1	1	14	1	0	0
[7090]	-0-	7	1	1	12	1	0	0
[5968]	-0-	5	1	1	10	1	0	0
[7155]	-0-	11	1	1	16	1	0	0
[1795]	-0-	6	0	0	11	1	1	0
[5218]	-0-	18784	0	0	22350	972	1	0
[7224]	-0-	103	0	0	129	7	1	0
[2141]	-0-	653	0	0	723	19	1	0
[8007]	-0-	1070	0	0	1120	14	1	0
[1576]	-0-	17	0	0	24	2	1	0
[6581]	-0-	194	0	0	260	18	1	0
[6031]	-0-	345	0	0	366	6	1	0
[922]	-0-	1	0	0	2	0	1	0
[7987]	-0-	41	1	1	46	1	0	0
