exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|p_5	|(16,0).0	|0	|0
O_Pin	|OPIN(16,0)	|(16,0).1	|500	|500
CHAN_X	|	|(16,0).5	|500	|1000
CHAN_Y	|	|(16,1).5	|500	|1500
CHAN_X	|	|(17,1).5	|500	|2000
CHAN_Y	|	|(17,2).5	|500	|2500
CHAN_X	|	|(18,2).5	|500	|3000
CHAN_X	|	|(19,2).5	|500	|3500
CHAN_X	|	|(20,2).5	|500	|4000
CHAN_Y	|	|(20,3).5	|500	|4500
CHAN_Y	|	|(20,4).5	|500	|5000
CHAN_X	|	|(20,4).5	|500	|5500
CHAN_X	|	|(19,4).5	|500	|6000
CHAN_X	|	|(18,4).5	|500	|6500
CHAN_X	|	|(17,4).5	|500	|7000
CHAN_Y	|	|(16,5).5	|500	|7500
CHAN_Y	|	|(16,4).5	|500	|8000
CHAN_X	|	|(16,3).5	|500	|8500
CHAN_X	|	|(15,3).5	|500	|9000
CHAN_X	|	|(14,3).5	|500	|9500
CHAN_X	|	|(13,3).5	|500	|10000
CHAN_X	|	|(12,3).5	|500	|10500
CHAN_X	|	|(11,3).5	|500	|11000
CHAN_Y	|	|(10,4).5	|500	|11500
CHAN_X	|	|(11,4).5	|500	|12000
I_Pin	|IPIN(11,4).2	|(11,4).2	|500	|12500
CLB(comb)	|n_1042	|(11,4)	|121500	|134000
O_Pin	|OPIN(11,4)	|(11,4).1	|0	|134000
CHAN_Y	|	|(11,4).1	|500	|134500
CHAN_X	|	|(11,4).1	|500	|135000
CHAN_X	|	|(10,4).1	|500	|135500
I_Pin	|IPIN(10,5).0	|(10,5).0	|500	|136000
CLB(comb)	|[679]	|(10,5)	|4800	|140800
O_Pin	|OPIN(10,5)	|(10,5).1	|0	|140800
CHAN_Y	|	|(10,5).5	|500	|141300
CHAN_X	|	|(10,5).5	|500	|141800
CHAN_X	|	|(9,5).5	|500	|142300
CHAN_X	|	|(8,5).5	|500	|142800
CHAN_X	|	|(7,5).5	|500	|143300
CHAN_X	|	|(6,5).5	|500	|143800
CHAN_X	|	|(5,5).5	|500	|144300
I_Pin	|IPIN(5,6).0	|(5,6).0	|500	|144800
CLB(comb)	|n_1050	|(5,6)	|900	|145700
O_Pin	|OPIN(5,6)	|(5,6).1	|0	|145700
CHAN_Y	|	|(5,6).4	|500	|146200
CHAN_X	|	|(5,6).4	|500	|146700
I_Pin	|IPIN(5,7).0	|(5,7).0	|500	|147200
CLB(comb)	|n_1053	|(5,7)	|900	|148100
O_Pin	|OPIN(5,7)	|(5,7).1	|0	|148100
CHAN_X	|	|(5,6).7	|500	|148600
CHAN_Y	|	|(4,6).7	|500	|149100
CHAN_Y	|	|(4,5).7	|500	|149600
CHAN_Y	|	|(4,4).7	|500	|150100
CHAN_Y	|	|(4,3).7	|500	|150600
CHAN_X	|	|(4,2).7	|500	|151100
CHAN_Y	|	|(3,3).7	|500	|151600
CHAN_X	|	|(3,3).7	|500	|152100
I_Pin	|IPIN(3,4).0	|(3,4).0	|500	|152600
CLB(comb)	|n_1056	|(3,4)	|900	|153500
O_Pin	|OPIN(3,4)	|(3,4).1	|0	|153500
CHAN_Y	|	|(3,4).0	|500	|154000
CHAN_Y	|	|(3,3).0	|500	|154500
CHAN_X	|	|(4,2).0	|500	|155000
CHAN_X	|	|(5,2).0	|500	|155500
CHAN_X	|	|(6,2).0	|500	|156000
CHAN_X	|	|(7,2).0	|500	|156500
CHAN_X	|	|(8,2).0	|500	|157000
CHAN_X	|	|(9,2).0	|500	|157500
CHAN_X	|	|(10,2).0	|500	|158000
CHAN_X	|	|(11,2).0	|500	|158500
I_Pin	|IPIN(11,3).0	|(11,3).0	|500	|159000
CLB(comb)	|n_1059	|(11,3)	|900	|159900
O_Pin	|OPIN(11,3)	|(11,3).1	|0	|159900
CHAN_X	|	|(11,2).6	|500	|160400
CHAN_X	|	|(12,2).6	|500	|160900
CHAN_X	|	|(13,2).6	|500	|161400
CHAN_X	|	|(14,2).6	|500	|161900
CHAN_Y	|	|(14,3).6	|500	|162400
CHAN_Y	|	|(14,4).6	|500	|162900
CHAN_X	|	|(15,4).6	|500	|163400
CHAN_X	|	|(16,4).6	|500	|163900
CHAN_X	|	|(17,4).6	|500	|164400
CHAN_Y	|	|(17,5).6	|500	|164900
CHAN_Y	|	|(17,6).6	|500	|165400
CHAN_X	|	|(18,6).6	|500	|165900
CHAN_Y	|	|(18,7).6	|500	|166400
CHAN_Y	|	|(18,8).6	|500	|166900
CHAN_Y	|	|(18,9).6	|500	|167400
CHAN_Y	|	|(18,10).6	|500	|167900
CHAN_X	|	|(18,10).6	|500	|168400
CHAN_Y	|	|(17,11).6	|500	|168900
CHAN_Y	|	|(17,12).6	|500	|169400
CHAN_X	|	|(18,12).6	|500	|169900
CHAN_Y	|	|(18,13).6	|500	|170400
CHAN_Y	|	|(18,14).6	|500	|170900
CHAN_Y	|	|(18,15).6	|500	|171400
CHAN_X	|	|(18,15).6	|500	|171900
CHAN_X	|	|(17,15).6	|500	|172400
CHAN_X	|	|(16,15).6	|500	|172900
I_Pin	|IPIN(16,15).2	|(16,15).2	|500	|173400
CLB(comb)	|n_1062	|(16,15)	|900	|174300
O_Pin	|OPIN(16,15)	|(16,15).1	|0	|174300
CHAN_Y	|	|(16,15).1	|500	|174800
CHAN_X	|	|(17,15).1	|500	|175300
I_Pin	|IPIN(17,16).0	|(17,16).0	|500	|175800
CLB(comb)	|n_1065	|(17,16)	|900	|176700
O_Pin	|OPIN(17,16)	|(17,16).1	|0	|176700
CHAN_Y	|	|(17,16).7	|500	|177200
