

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[395]	-0-	2	0	0	3	0	1	1
[224]	-0-	2	0	0	3	0	1	1
[19]	-0-	3025	33	1	3578	161	0	59
[361]	-0-	0	0	0	1	0	1	0
[71]	-0-	42	0	0	43	0	1	0
[71]	-1-	3	0	0	4	0	1	0
[71]	-2-	2	0	0	3	0	1	0
[71]	-3-	0	0	0	1	0	1	0
[71]	-4-	3	0	0	4	0	1	0
[71]	-5-	13	0	0	14	0	1	0
[71]	-6-	1	0	0	2	0	1	0
[71]	-7-	0	0	0	1	0	1	0
[71]	-8-	2	0	0	3	0	1	0
[71]	-9-	2	0	0	3	0	1	0
[71]	-10-	1	0	0	2	0	1	0
[71]	-11-	0	0	0	1	0	1	0
[71]	-12-	0	0	0	1	0	1	0
[71]	-13-	3	0	0	4	0	1	0
[71]	-14-	7	0	0	8	0	1	0
[71]	-15-	2	0	0	3	0	1	0
[71]	-16-	6	0	0	7	0	1	0
[71]	-17-	0	0	0	1	0	1	0
[71]	-18-	0	0	0	1	0	1	0
[71]	-19-	0	0	0	1	0	1	0
[71]	-20-	6	0	0	7	0	1	0
[71]	-21-	0	0	0	1	0	1	0
[71]	-22-	2	0	0	3	0	1	0
[71]	-23-	1	0	0	2	0	1	0
[71]	-24-	0	0	0	1	0	1	0
[71]	-25-	1	0	0	2	0	1	0
[71]	-26-	0	0	0	1	0	1	0
[71]	-27-	2	0	0	3	0	1	0
[71]	-28-	1	0	0	2	0	1	0
[71]	-29-	3	0	0	4	0	1	0
[65]	-0-	14	0	0	15	0	1	0
[65]	-1-	6	0	0	7	0	1	0
[65]	-2-	1	0	0	2	0	1	0
[65]	-3-	0	0	0	1	0	1	0
[65]	-4-	1	0	0	2	0	1	0
[65]	-5-	2	0	0	3	0	1	0
[65]	-6-	6	0	0	7	0	1	0
[65]	-7-	0	0	0	1	0	1	0
[65]	-8-	2	0	0	3	0	1	0
[65]	-9-	1	0	0	2	0	1	0
[65]	-10-	0	0	0	1	0	1	0
[65]	-11-	0	0	0	1	0	1	0
[65]	-12-	1	0	0	2	0	1	0
[65]	-13-	1	0	0	2	0	1	0
[65]	-14-	0	0	0	1	0	1	0
[65]	-15-	1	0	0	2	0	1	0
[65]	-16-	42	0	0	43	0	1	0
[65]	-17-	1	0	0	2	0	1	0
[65]	-18-	0	0	0	1	0	1	0
[65]	-19-	1	0	0	2	0	1	0
[65]	-20-	2	0	0	3	0	1	0
[65]	-21-	5	0	0	6	0	1	0
[65]	-22-	0	0	0	1	0	1	0
[65]	-23-	1	0	0	2	0	1	0
[65]	-24-	0	0	0	1	0	1	0
[65]	-25-	0	0	0	1	0	1	0
[65]	-26-	0	0	0	1	0	1	0
[65]	-27-	0	0	0	1	0	1	0
[65]	-28-	1	0	0	2	0	1	0
[65]	-29-	0	0	0	1	0	1	0
[350]	-0-	7	0	0	8	0	1	0
[350]	-1-	0	0	0	1	0	1	0
[350]	-2-	1	0	0	2	0	1	0
[112]	-0-	0	0	0	1	0	1	0
[112]	-1-	7	0	0	8	0	1	0
[112]	-2-	4	0	0	5	0	1	0
[21]	-0-	3	0	0	4	0	1	0
[21]	-1-	0	0	0	1	0	1	0
[413]	-0-	3	0	0	4	0	1	0
[432]	-0-	4	0	0	5	0	1	0
[266]	-0-	2	0	0	3	0	1	0
[347]	-0-	3	0	0	4	0	1	0
[167]	-0-	11	0	0	12	0	1	0
[165]	-0-	8	0	0	9	0	1	0
[119]	-0-	2	0	0	3	0	1	0
[448]	-0-	3	0	0	4	0	1	0
[9]	-0-	1	0	0	2	0	1	0
[59]	-0-	2	0	0	3	0	1	0
[262]	-0-	69	0	1	92	6	0	1
[510]	-0-	119	0	1	159	10	0	1
[196]	-0-	99	0	1	139	10	0	1
[311]	-0-	7	0	0	12	1	1	0
[43]	-0-	83	0	1	109	7	0	1
[401]	-0-	87	0	1	127	10	0	1
[229]	-0-	20	0	0	25	1	1	0
[0]	-0-	112	0	1	152	10	0	1
[25]	-0-	2	0	0	7	1	1	0
[380]	-0-	105	0	1	145	10	0	1
[545]	-0-	79	0	1	119	10	0	1
[241]	-0-	139	0	1	179	10	0	1
[378]	-0-	110	0	1	158	13	0	1
[302]	-0-	0	0	0	1	0	1	0
[427]	-0-	3	0	0	4	0	1	0
[427]	-1-	0	0	0	1	0	1	0
[232]	-0-	1	0	0	2	0	1	0
[154]	-0-	0	0	0	1	0	1	0
[154]	-1-	0	0	0	1	0	1	0
[42]	-0-	2	0	0	3	0	1	0
[2]	-0-	11	0	0	16	1	1	0
[3]	-0-	6	0	0	11	1	1	0
[105]	-0-	5	0	0	10	1	1	0
[128]	-0-	50	0	1	71	5	0	1
[367]	-0-	13	0	0	18	1	1	0
[384]	-0-	2	0	0	7	1	1	0
[375]	-0-	2	0	0	3	0	1	0
[33]	-0-	1	0	0	2	0	1	0
[425]	-0-	9	0	0	10	0	1	0
[517]	-0-	5	0	0	6	0	1	0
[462]	-0-	1	0	0	2	0	1	0
[462]	-1-	1	0	0	2	0	1	0
[462]	-2-	5	0	0	6	0	1	0
[450]	-0-	7	0	0	8	0	1	0
[288]	-0-	6	0	0	7	0	1	0
[222]	-0-	2	0	0	3	0	1	0
[10]	-0-	5	0	0	6	0	1	0
[504]	-0-	69	0	1	92	6	0	1
[182]	-0-	165	0	1	204	10	0	1
[312]	-0-	137	0	1	162	6	0	1
[248]	-0-	187	0	1	223	9	0	1
[446]	-0-	50	0	1	76	7	0	1
[190]	-0-	109	0	1	145	9	0	1
[63]	-0-	177	0	1	213	9	0	1
[23]	-0-	114	0	1	150	9	0	1
