exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_10_	|(69,24).0	|0	|0
O_Pin	|OPIN(69,24)	|(69,24).1	|500	|500
CHAN_Y	|	|(68,24).6	|500	|1000
CHAN_Y	|	|(68,23).6	|500	|1500
CHAN_Y	|	|(68,22).6	|500	|2000
CHAN_Y	|	|(68,21).6	|500	|2500
CHAN_Y	|	|(68,20).6	|500	|3000
CHAN_Y	|	|(68,19).6	|500	|3500
CHAN_Y	|	|(68,18).6	|500	|4000
CHAN_X	|	|(68,17).6	|500	|4500
CHAN_X	|	|(67,17).6	|500	|5000
CHAN_X	|	|(66,17).6	|500	|5500
CHAN_Y	|	|(65,17).6	|500	|6000
CHAN_Y	|	|(65,16).6	|500	|6500
CHAN_X	|	|(66,15).6	|500	|7000
CHAN_X	|	|(67,15).6	|500	|7500
CHAN_Y	|	|(67,15).6	|500	|8000
CHAN_Y	|	|(67,14).6	|500	|8500
CHAN_Y	|	|(67,13).6	|500	|9000
CHAN_Y	|	|(67,12).6	|500	|9500
CHAN_Y	|	|(67,11).6	|500	|10000
CHAN_Y	|	|(67,10).6	|500	|10500
CHAN_X	|	|(67,9).6	|500	|11000
CHAN_Y	|	|(66,9).6	|500	|11500
CHAN_Y	|	|(66,8).6	|500	|12000
CHAN_X	|	|(66,7).6	|500	|12500
CHAN_Y	|	|(65,7).6	|500	|13000
CHAN_X	|	|(65,6).6	|500	|13500
CHAN_X	|	|(64,6).6	|500	|14000
CHAN_Y	|	|(63,6).6	|500	|14500
CHAN_X	|	|(63,5).6	|500	|15000
CHAN_X	|	|(62,5).6	|500	|15500
CHAN_Y	|	|(61,5).6	|500	|16000
CHAN_Y	|	|(61,4).6	|500	|16500
CHAN_X	|	|(61,3).6	|500	|17000
CHAN_X	|	|(60,3).6	|500	|17500
CHAN_X	|	|(59,3).6	|500	|18000
CHAN_X	|	|(58,3).6	|500	|18500
CHAN_Y	|	|(57,3).6	|500	|19000
CHAN_X	|	|(57,2).6	|500	|19500
CHAN_X	|	|(56,2).6	|500	|20000
CHAN_X	|	|(55,2).6	|500	|20500
CHAN_X	|	|(54,2).6	|500	|21000
CHAN_X	|	|(53,2).6	|500	|21500
CHAN_X	|	|(52,2).6	|500	|22000
CHAN_X	|	|(51,2).6	|500	|22500
CHAN_X	|	|(50,2).6	|500	|23000
CHAN_X	|	|(49,2).6	|500	|23500
CHAN_X	|	|(48,2).6	|500	|24000
CHAN_X	|	|(47,2).6	|500	|24500
CHAN_X	|	|(46,2).6	|500	|25000
CHAN_X	|	|(45,2).6	|500	|25500
CHAN_X	|	|(44,2).6	|500	|26000
CHAN_X	|	|(43,2).6	|500	|26500
CHAN_Y	|	|(42,2).6	|500	|27000
CHAN_X	|	|(42,1).6	|500	|27500
CHAN_X	|	|(41,1).6	|500	|28000
CHAN_Y	|	|(40,2).6	|500	|28500
CHAN_Y	|	|(40,3).6	|500	|29000
CHAN_X	|	|(40,3).6	|500	|29500
CHAN_Y	|	|(39,4).6	|500	|30000
CHAN_Y	|	|(39,5).6	|500	|30500
I_Pin	|IPIN(40,5).1	|(40,5).1	|500	|31000
CLB(comb)	|[5936]	|(40,5)	|49300	|80300
O_Pin	|OPIN(40,5)	|(40,5).1	|0	|80300
CHAN_X	|	|(40,4).10	|500	|80800
CHAN_Y	|	|(39,5).10	|500	|81300
CHAN_X	|	|(39,5).10	|500	|81800
CHAN_X	|	|(38,5).10	|500	|82300
CHAN_Y	|	|(37,6).10	|500	|82800
CHAN_X	|	|(37,6).10	|500	|83300
I_Pin	|IPIN(37,7).0	|(37,7).0	|500	|83800
CLB(comb)	|n_n5061	|(37,7)	|10900	|94700
O_Pin	|OPIN(37,7)	|(37,7).1	|0	|94700
CHAN_X	|	|(37,6).12	|500	|95200
CHAN_Y	|	|(36,7).12	|500	|95700
I_Pin	|IPIN(36,7).3	|(36,7).3	|500	|96200
CLB(comb)	|n_n5020	|(36,7)	|2400	|98600
O_Pin	|OPIN(36,7)	|(36,7).1	|0	|98600
CHAN_Y	|	|(36,7).17	|500	|99100
CHAN_X	|	|(36,7).17	|500	|99600
CHAN_X	|	|(35,7).17	|500	|100100
CHAN_X	|	|(34,7).17	|500	|100600
CHAN_X	|	|(33,7).17	|500	|101100
CHAN_X	|	|(32,7).17	|500	|101600
I_Pin	|IPIN(32,8).0	|(32,8).0	|500	|102100
CLB(comb)	|n_n5007	|(32,8)	|28900	|131000
O_Pin	|OPIN(32,8)	|(32,8).1	|0	|131000
CHAN_X	|	|(32,7).13	|500	|131500
CHAN_X	|	|(31,7).13	|500	|132000
CHAN_X	|	|(30,7).13	|500	|132500
CHAN_X	|	|(29,7).13	|500	|133000
CHAN_X	|	|(28,7).13	|500	|133500
CHAN_X	|	|(27,7).13	|500	|134000
CHAN_Y	|	|(26,7).13	|500	|134500
CHAN_X	|	|(26,6).13	|500	|135000
CHAN_Y	|	|(25,7).13	|500	|135500
CHAN_X	|	|(25,7).13	|500	|136000
I_Pin	|IPIN(25,7).2	|(25,7).2	|500	|136500
CLB(comb)	|[19306]	|(25,7)	|900	|137400
O_Pin	|OPIN(25,7)	|(25,7).1	|0	|137400
CHAN_X	|	|(25,6).12	|500	|137900
CHAN_Y	|	|(24,6).12	|500	|138400
CHAN_X	|	|(24,5).12	|500	|138900
CHAN_X	|	|(23,5).12	|500	|139400
CHAN_X	|	|(22,5).12	|500	|139900
CHAN_X	|	|(21,5).12	|500	|140400
CHAN_X	|	|(20,5).12	|500	|140900
CHAN_Y	|	|(19,6).12	|500	|141400
CHAN_Y	|	|(19,7).12	|500	|141900
