

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[895]	-0-	22900	16	1	25389	672	0	0
[3948]	-0-	649	0	1	709	16	0	0
[1913]	-0-	397	0	1	450	14	0	0
[4467]	-0-	472	0	1	570	25	0	0
[2634]	-0-	13282	0	1	14636	359	0	0
[2559]	-0-	109	0	1	141	9	0	0
[837]	-0-	510	0	1	610	26	0	0
[734]	-0-	7964	0	1	9374	374	0	0
[2934]	-0-	48	0	1	60	3	0	0
[510]	-0-	58	0	1	73	4	0	0
[185]	-0-	24	0	1	36	3	0	0
[4018]	-0-	13439	0	1	15431	523	0	0
[1190]	-0-	4449	0	1	5126	179	0	0
[2001]	-0-	7116	0	1	8392	340	0	0
[2224]	-0-	492	0	1	606	30	0	0
[2375]	-0-	164	0	1	207	11	0	0
[4207]	-0-	7691	0	1	8862	311	0	0
[800]	-0-	284	0	1	403	30	0	0
[3682]	-0-	45	0	1	68	6	0	0
[4537]	-0-	153	0	1	191	10	0	0
[3302]	-0-	1480	0	1	1851	100	0	0
[2018]	-0-	7361	0	1	8277	243	0	0
[3046]	-0-	322	0	1	378	15	0	0
[1936]	-0-	194	0	1	226	8	0	0
[1004]	-0-	21	0	1	26	1	0	0
[2949]	-0-	51	0	1	69	5	0	0
[3962]	-0-	1239	0	1	1548	82	0	0
[2239]	-0-	300	0	1	413	30	0	0
[2997]	-0-	164	0	1	256	25	0	0
[771]	-0-	1432	0	1	1725	77	0	0
[1895]	-0-	506	0	1	573	18	0	0
[1555]	-0-	64	0	1	91	7	0	0
[2032]	-0-	46	0	1	59	4	0	0
[178]	-0-	2314	0	1	2652	89	0	0
[401]	-0-	1707	0	1	2026	85	0	0
[1732]	-0-	4589	0	1	5438	227	0	0
[574]	-0-	3963	0	1	4558	160	0	0
[3165]	-0-	4092	0	1	5009	246	0	0
[2669]	-0-	3141	0	1	3866	195	0	0
[4367]	-0-	200	0	1	250	13	0	0
---	---	---	---	---	---	---	---	---
[all]		113432	16	40	130625	4575	0	0
