exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
CLB(seq)	|n_n856	|(22,16)	|0	|0
O_Pin	|OPIN(22,16)	|(22,16).1	|500	|500
CHAN_Y	|	|(22,16).4	|500	|1000
CHAN_X	|	|(23,16).4	|500	|1500
CHAN_X	|	|(24,16).4	|500	|2000
CHAN_X	|	|(25,16).4	|500	|2500
CHAN_X	|	|(26,16).4	|500	|3000
CHAN_X	|	|(27,16).4	|500	|3500
CHAN_X	|	|(28,16).4	|500	|4000
CHAN_X	|	|(29,16).4	|500	|4500
CHAN_X	|	|(30,16).4	|500	|5000
CHAN_X	|	|(31,16).4	|500	|5500
CHAN_X	|	|(32,16).4	|500	|6000
CHAN_X	|	|(33,16).4	|500	|6500
CHAN_X	|	|(34,16).4	|500	|7000
CHAN_Y	|	|(34,17).4	|500	|7500
CHAN_X	|	|(35,17).4	|500	|8000
CHAN_X	|	|(36,17).4	|500	|8500
CHAN_Y	|	|(36,18).4	|500	|9000
CHAN_X	|	|(37,18).4	|500	|9500
CHAN_X	|	|(38,18).4	|500	|10000
CHAN_Y	|	|(38,18).4	|500	|10500
CHAN_X	|	|(39,17).4	|500	|11000
CHAN_X	|	|(40,17).4	|500	|11500
CHAN_X	|	|(41,17).4	|500	|12000
CHAN_Y	|	|(41,17).4	|500	|12500
CHAN_Y	|	|(41,16).4	|500	|13000
CHAN_Y	|	|(41,15).4	|500	|13500
CHAN_Y	|	|(41,14).4	|500	|14000
CHAN_Y	|	|(41,13).4	|500	|14500
CHAN_Y	|	|(41,12).4	|500	|15000
CHAN_Y	|	|(41,11).4	|500	|15500
CHAN_X	|	|(42,10).4	|500	|16000
CHAN_Y	|	|(42,10).4	|500	|16500
CHAN_Y	|	|(42,9).4	|500	|17000
CHAN_Y	|	|(42,8).4	|500	|17500
CHAN_X	|	|(42,7).4	|500	|18000
CHAN_X	|	|(41,7).4	|500	|18500
CHAN_X	|	|(40,7).4	|500	|19000
CHAN_Y	|	|(39,7).4	|500	|19500
CHAN_X	|	|(39,6).4	|500	|20000
CHAN_X	|	|(38,6).4	|500	|20500
CHAN_Y	|	|(37,6).4	|500	|21000
CHAN_X	|	|(37,5).4	|500	|21500
CHAN_X	|	|(36,5).4	|500	|22000
CHAN_Y	|	|(35,5).4	|500	|22500
CHAN_X	|	|(35,4).4	|500	|23000
CHAN_Y	|	|(34,4).4	|500	|23500
CHAN_Y	|	|(34,3).4	|500	|24000
CHAN_Y	|	|(34,2).4	|500	|24500
CHAN_X	|	|(34,1).4	|500	|25000
CHAN_X	|	|(33,1).4	|500	|25500
CHAN_X	|	|(32,1).4	|500	|26000
CHAN_X	|	|(31,1).4	|500	|26500
CHAN_X	|	|(30,1).4	|500	|27000
CHAN_X	|	|(29,1).4	|500	|27500
CHAN_X	|	|(28,1).4	|500	|28000
CHAN_X	|	|(27,1).4	|500	|28500
CHAN_X	|	|(26,1).4	|500	|29000
CHAN_Y	|	|(25,2).4	|500	|29500
CHAN_X	|	|(25,2).4	|500	|30000
CHAN_X	|	|(24,2).4	|500	|30500
CHAN_X	|	|(23,2).4	|500	|31000
CHAN_X	|	|(22,2).4	|500	|31500
CHAN_X	|	|(21,2).4	|500	|32000
CHAN_X	|	|(20,2).4	|500	|32500
CHAN_X	|	|(19,2).4	|500	|33000
CHAN_X	|	|(18,2).4	|500	|33500
CHAN_X	|	|(17,2).4	|500	|34000
CHAN_X	|	|(16,2).4	|500	|34500
CHAN_X	|	|(15,2).4	|500	|35000
CHAN_X	|	|(14,2).4	|500	|35500
CHAN_X	|	|(13,2).4	|500	|36000
CHAN_Y	|	|(12,2).4	|500	|36500
CHAN_Y	|	|(12,1).4	|500	|37000
CHAN_X	|	|(12,0).4	|500	|37500
CHAN_X	|	|(11,0).4	|500	|38000
CHAN_X	|	|(10,0).4	|500	|38500
CHAN_X	|	|(9,0).4	|500	|39000
CHAN_X	|	|(8,0).4	|500	|39500
CHAN_X	|	|(7,0).4	|500	|40000
CHAN_X	|	|(6,0).4	|500	|40500
CHAN_X	|	|(5,0).4	|500	|41000
CHAN_X	|	|(4,0).4	|500	|41500
CHAN_Y	|	|(3,1).4	|500	|42000
CHAN_X	|	|(3,1).4	|500	|42500
CHAN_Y	|	|(2,2).4	|500	|43000
CHAN_Y	|	|(2,3).4	|500	|43500
CHAN_Y	|	|(2,4).4	|500	|44000
CHAN_Y	|	|(2,5).4	|500	|44500
CHAN_X	|	|(2,5).4	|500	|45000
CHAN_X	|	|(1,5).4	|500	|45500
CHAN_Y	|	|(0,6).4	|500	|46000
CHAN_Y	|	|(0,7).4	|500	|46500
CHAN_Y	|	|(0,8).4	|500	|47000
CHAN_Y	|	|(0,9).4	|500	|47500
CHAN_Y	|	|(0,10).4	|500	|48000
CHAN_Y	|	|(0,11).4	|500	|48500
CHAN_Y	|	|(0,12).4	|500	|49000
CHAN_Y	|	|(0,13).4	|500	|49500
CHAN_Y	|	|(0,14).4	|500	|50000
CHAN_Y	|	|(0,15).4	|500	|50500
CHAN_Y	|	|(0,16).4	|500	|51000
CHAN_X	|	|(1,15).4	|500	|51500
CHAN_X	|	|(2,15).4	|500	|52000
CHAN_X	|	|(3,15).4	|500	|52500
CHAN_X	|	|(4,15).4	|500	|53000
CHAN_X	|	|(5,15).4	|500	|53500
CHAN_X	|	|(6,15).4	|500	|54000
CHAN_X	|	|(7,15).4	|500	|54500
CHAN_X	|	|(8,15).4	|500	|55000
CHAN_X	|	|(9,15).4	|500	|55500
CHAN_X	|	|(10,15).4	|500	|56000
CHAN_X	|	|(11,15).4	|500	|56500
CHAN_X	|	|(12,15).4	|500	|57000
