

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[272]	-0-	505	0	1	529	8	0	5
[261]	-0-	112	0	1	117	1	0	0
[870]	-0-	13511	3	0	16551	849	1	3
[1349]	-0-	356	0	0	440	23	1	0
[1108]	-0-	359	0	0	451	27	1	0
[799]	-0-	9	0	1	10	0	0	0
[1834]	-0-	51	0	1	55	1	0	0
[378]	-0-	39	0	1	40	0	0	0
[1825]	-0-	9	0	1	10	0	0	0
[958]	-0-	367	0	0	477	31	1	0
[652]	-0-	404	0	0	502	26	1	0
[1206]	-0-	15	0	0	16	0	1	0
[889]	-0-	24	0	0	25	0	1	0
[1503]	-0-	20	0	0	21	0	1	0
[1475]	-0-	14	0	0	15	0	1	0
[1835]	-0-	15	0	0	16	0	1	0
[593]	-0-	18	0	0	19	0	1	0
[1154]	-0-	17	0	0	18	0	1	0
[1661]	-0-	19	0	0	20	0	1	0
[1074]	-0-	6	0	0	7	0	1	0
[998]	-0-	9	0	0	10	0	1	0
[1838]	-0-	0	0	0	1	0	1	0
[542]	-0-	3438	0	0	4637	327	1	0
[413]	-0-	1864	0	0	2534	185	1	0
[1394]	-0-	304	0	0	394	23	1	0
[204]	-0-	339	0	0	442	28	1	0
[645]	-0-	318	0	0	417	29	1	0
[1250]	-0-	2394	0	0	3420	284	1	0
[1318]	-0-	274	0	0	375	28	1	0
[1258]	-0-	469	0	0	661	53	1	0
---	---	---	---	---	---	---	---	---
[all]		25279	3	6	32230	1923	24	8
