

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[10]	-0-	7	1	1	9	1	0	0
[30]	-0-	6	1	1	8	1	0	0
[19]	-0-	4	1	1	6	1	0	0
[16]	-0-	9	1	1	11	1	0	0
[7]	-0-	11	1	1	13	1	0	0
[27]	-0-	4	1	1	6	1	0	0
[32]	-0-	3	1	1	5	1	0	0
[17]	-0-	7	1	1	9	1	0	0
[0]	-0-	12	2	1	16	1	0	0
[2]	-0-	8	1	1	12	1	0	0
[26]	-0-	10	1	1	14	1	0	0
[4]	-0-	9	1	1	13	1	0	0
[8]	-0-	12	1	1	16	1	0	0
[25]	-0-	6	1	1	10	1	0	0
[11]	-0-	8	1	1	12	1	0	0
[3]	-0-	7	1	1	11	1	0	0
---	---	---	---	---	---	---	---	---
[all]		123	17	16	171	16	0	0
