exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
CLB(seq)	|n_n4159	|(22,9)	|0	|0
O_Pin	|OPIN(22,9)	|(22,9).1	|500	|500
CHAN_Y	|	|(22,9).5	|500	|1000
CHAN_Y	|	|(22,8).5	|500	|1500
CHAN_Y	|	|(22,7).5	|500	|2000
CHAN_X	|	|(23,6).5	|500	|2500
CHAN_Y	|	|(23,6).5	|500	|3000
CHAN_Y	|	|(23,5).5	|500	|3500
CHAN_X	|	|(24,4).5	|500	|4000
CHAN_Y	|	|(24,4).5	|500	|4500
CHAN_X	|	|(25,3).5	|500	|5000
CHAN_X	|	|(26,3).5	|500	|5500
CHAN_X	|	|(27,3).5	|500	|6000
CHAN_Y	|	|(27,4).5	|500	|6500
CHAN_Y	|	|(27,5).5	|500	|7000
CHAN_Y	|	|(27,6).5	|500	|7500
CHAN_Y	|	|(27,7).5	|500	|8000
CHAN_X	|	|(28,7).5	|500	|8500
CHAN_Y	|	|(28,8).5	|500	|9000
I_Pin	|IPIN(28,8).3	|(28,8).3	|500	|9500
CLB(comb)	|n_n3741	|(28,8)	|900	|10400
O_Pin	|OPIN(28,8)	|(28,8).1	|0	|10400
CHAN_Y	|	|(28,8).0	|500	|10900
CHAN_Y	|	|(28,7).0	|500	|11400
CHAN_Y	|	|(28,6).0	|500	|11900
CHAN_Y	|	|(28,5).0	|500	|12400
CHAN_Y	|	|(28,4).0	|500	|12900
I_Pin	|IPIN(29,4).1	|(29,4).1	|500	|13400
CLB(seq)	|n_n3287	|(29,4)	|800	|14200
