

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[265]	-0-	7	0	1	10	1	0	2
[1060]	-0-	1541	1	0	1707	49	1	36
[673]	-0-	29	0	0	34	1	1	0
[234]	-0-	37	0	0	38	0	1	1
[234]	-1-	0	0	0	1	0	1	0
[234]	-2-	0	0	0	1	0	1	0
[108]	-0-	252	0	0	268	4	1	7
[768]	-0-	1	0	0	2	0	1	1
[361]	-0-	1	0	0	2	0	1	1
[961]	-0-	12	1	1	16	1	0	2
[961]	-1-	11	0	0	12	0	1	0
[430]	-0-	316	0	0	343	7	1	16
[127]	-0-	190	0	0	216	7	1	5
[580]	-0-	77	1	0	86	2	1	5
[1037]	-0-	65	0	0	85	6	1	2
[707]	-0-	8	0	0	13	1	1	0
[1045]	-0-	40	0	0	45	1	1	1
[877]	-0-	2	0	0	3	0	1	0
[1005]	-0-	6	0	0	7	0	1	1
[1005]	-1-	10	0	0	11	0	1	0
[1005]	-2-	0	0	0	1	0	1	0
[1005]	-3-	6	0	0	7	0	1	0
[299]	-0-	1	0	0	2	0	1	1
[527]	-0-	1	0	0	2	0	1	1
[831]	-0-	301	0	0	397	25	1	2
[192]	-0-	19	0	0	23	1	1	2
[192]	-1-	12	0	0	13	0	1	0
[192]	-2-	13	0	0	14	0	1	0
[192]	-3-	21	0	0	22	0	1	0
[192]	-4-	2	0	0	3	0	1	0
[192]	-5-	4	0	0	5	0	1	0
[192]	-6-	10	0	0	11	0	1	0
[192]	-7-	0	0	0	1	0	1	0
[991]	-0-	14	1	0	18	1	1	2
[991]	-1-	2	0	1	3	0	0	0
[1064]	-0-	109	0	0	114	1	1	1
[728]	-0-	10	0	0	11	0	1	0
[297]	-0-	20	0	0	25	1	1	3
[805]	-0-	1	0	0	2	0	1	1
[962]	-0-	6	0	0	7	0	1	1
[962]	-1-	3	0	0	4	0	1	0
[962]	-2-	0	0	0	1	0	1	0
[556]	-0-	6	0	1	9	1	0	2
[538]	-0-	1	0	0	2	0	1	1
[480]	-0-	6	0	1	9	1	0	2
[344]	-0-	16	0	0	17	0	1	1
[344]	-1-	5	0	0	6	0	1	0
[344]	-2-	28	0	0	29	0	1	0
[344]	-3-	1	0	0	2	0	1	0
[312]	-0-	1	0	0	2	0	1	1
[312]	-1-	6	0	0	7	0	1	0
[196]	-0-	7	0	1	10	1	0	2
[774]	-0-	2	0	0	3	0	1	0
[1002]	-0-	20	0	0	31	3	1	0
[326]	-0-	37	0	0	42	1	1	1
[420]	-0-	57	0	0	62	1	1	3
[289]	-0-	170	0	0	190	6	1	6
[726]	-0-	14	0	0	19	1	1	0
[813]	-0-	1	0	0	2	0	1	1
[813]	-1-	13	0	0	14	0	1	0
[1021]	-0-	21	0	0	26	1	1	1
[359]	-0-	10	0	0	11	0	1	0
[359]	-1-	14	0	0	15	0	1	0
[654]	-0-	22	0	1	25	1	0	1
[945]	-0-	2	0	0	3	0	1	1
[450]	-0-	5	0	0	6	0	1	1
[450]	-1-	2	0	0	3	0	1	0
[833]	-0-	1	0	0	2	0	1	1
[168]	-0-	29	1	1	33	1	0	2
[168]	-1-	14	0	0	15	0	1	0
[428]	-0-	61	0	0	68	2	1	0
[296]	-0-	22	0	0	23	0	1	1
[296]	-1-	1	0	0	2	0	1	0
[296]	-2-	28	0	0	29	0	1	0
[951]	-0-	1	0	0	2	0	1	1
[12]	-0-	0	0	0	1	0	1	0
[1017]	-0-	1	0	0	2	0	1	1
[115]	-0-	1307	0	0	1513	59	1	28
[818]	-0-	10	0	0	11	0	1	0
[686]	-0-	6	0	0	7	0	1	0
[519]	-0-	2	0	0	3	0	1	1
[920]	-0-	2	0	0	3	0	1	1
[753]	-0-	1	0	0	2	0	1	1
[999]	-0-	1	0	0	2	0	1	1
[932]	-0-	12	0	1	15	1	0	2
[638]	-0-	16	0	0	19	1	1	0
[638]	-1-	2	0	0	3	0	1	0
[156]	-0-	23	0	0	28	1	1	0
[156]	-1-	6	0	0	7	0	1	0
[156]	-2-	0	0	0	1	0	1	0
[156]	-3-	2	0	0	3	0	1	0
[380]	-0-	92	0	0	97	1	1	1
[684]	-0-	15	0	1	18	1	0	2
[892]	-0-	26	1	1	30	1	0	2
[892]	-1-	11	0	0	12	0	1	0
[447]	-0-	3	0	0	4	0	1	0
[447]	-1-	6	0	0	7	0	1	0
[447]	-2-	0	0	0	1	0	1	0
[271]	-0-	11	0	0	16	1	1	0
[384]	-0-	1	0	0	2	0	1	1
[85]	-0-	2	0	0	3	0	1	1
[260]	-0-	0	0	0	1	0	1	0
[338]	-0-	1	0	0	2	0	1	0
[35]	-0-	1	0	0	2	0	1	0
[35]	-1-	2	0	0	3	0	1	0
[35]	-2-	0	0	0	1	0	1	0
[890]	-0-	2	0	0	3	0	1	1
[503]	-0-	1	0	0	2	0	1	0
[503]	-1-	3	0	0	4	0	1	0
[503]	-2-	2	0	0	3	0	1	0
[378]	-0-	9	0	1	12	1	0	2
[605]	-0-	43	0	0	46	1	1	0
[605]	-1-	3	0	0	4	0	1	0
[605]	-2-	19	0	0	20	0	1	0
[567]	-0-	2	0	0	3	0	1	1
[979]	-0-	7	0	0	12	1	1	0
[467]	-0-	115	0	0	120	1	1	1
[676]	-0-	1	0	0	2	0	1	1
[136]	-0-	18	0	0	23	1	1	1
[1049]	-0-	17	0	0	22	1	1	1
[540]	-0-	23	0	0	28	1	1	1
[354]	-0-	1	0	0	2	0	1	0
[433]	-0-	2	0	0	3	0	1	1
[363]	-0-	1	0	0	2	0	1	1
[697]	-0-	22	0	0	25	1	1	0
[697]	-1-	0	0	0	1	0	1	0
[485]	-0-	14	0	1	17	1	0	2
[253]	-0-	16	1	1	20	1	0	2
[253]	-1-	3	0	0	4	0	1	0
[784]	-0-	16	0	0	21	1	1	1
[481]	-0-	3	0	0	4	0	1	0
[72]	-0-	1	0	0	2	0	1	1
[292]	-0-	6	0	0	11	1	1	1
[151]	-0-	0	0	0	1	0	1	0
[424]	-0-	20	0	0	21	0	1	0
[424]	-1-	1	0	0	2	0	1	0
[424]	-2-	3	0	0	4	0	1	0
[424]	-3-	13	0	0	14	0	1	0
[294]	-0-	8	0	0	9	0	1	0
[294]	-1-	0	0	0	1	0	1	0
[364]	-0-	10	0	0	15	1	1	0
[814]	-0-	15	0	0	16	0	1	0
[814]	-1-	0	0	0	1	0	1	0
[814]	-2-	6	0	0	7	0	1	0
[814]	-3-	6	0	0	7	0	1	0
[814]	-4-	2	0	0	3	0	1	0
[814]	-5-	0	0	0	1	0	1	0
[814]	-6-	2	0	0	3	0	1	0
[814]	-7-	2	0	0	3	0	1	0
[814]	-8-	1	0	0	2	0	1	0
[814]	-9-	1	0	0	2	0	1	0
[944]	-0-	0	0	0	1	0	1	0
[944]	-1-	1	0	0	2	0	1	0
[42]	-0-	1	0	0	2	0	1	1
[696]	-0-	3	0	0	4	0	1	0
[696]	-1-	5	0	0	6	0	1	0
[696]	-2-	2	0	0	3	0	1	0
[696]	-3-	0	0	0	1	0	1	0
[214]	-0-	10	1	1	14	1	0	2
[214]	-1-	12	0	0	13	0	1	0
[405]	-0-	1	0	0	2	0	1	1
[131]	-0-	4	0	0	5	0	1	0
[131]	-1-	5	0	0	6	0	1	0
[131]	-2-	2	0	0	3	0	1	0
[919]	-0-	0	0	0	1	0	1	0
[889]	-0-	1	0	0	2	0	1	1
[124]	-0-	11	0	1	14	1	0	2
[1030]	-0-	2	0	0	3	0	1	0
[1030]	-1-	1	0	0	2	0	1	0
[1030]	-2-	1	0	0	2	0	1	0
[1030]	-3-	3	0	0	4	0	1	0
[1030]	-4-	6	0	0	7	0	1	0
[1030]	-5-	11	0	0	12	0	1	0
[1030]	-6-	6	0	0	7	0	1	0
[1030]	-7-	0	0	0	1	0	1	0
[1030]	-8-	0	0	0	1	0	1	0
[1030]	-9-	6	0	0	7	0	1	0
[1030]	-10-	0	0	0	1	0	1	0
[1030]	-11-	1	0	0	2	0	1	0
[1030]	-12-	3	0	0	4	0	1	0
[1030]	-13-	2	0	0	3	0	1	0
[1030]	-14-	8	0	0	9	0	1	0
[1030]	-15-	2	0	0	3	0	1	0
[1030]	-16-	14	0	0	15	0	1	0
[1030]	-17-	0	0	0	1	0	1	0
[1030]	-18-	1	0	0	2	0	1	0
[1030]	-19-	3	0	0	4	0	1	0
[1030]	-20-	1	0	0	2	0	1	0
[1030]	-21-	1	0	0	2	0	1	0
[1030]	-22-	0	0	0	1	0	1	0
[1030]	-23-	5	0	0	6	0	1	0
