exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|p_651_195_	|(29,26).0	|0	|0
O_Pin	|OPIN(29,26)	|(29,26).1	|500	|500
CHAN_Y	|	|(28,26).3	|500	|1000
CHAN_X	|	|(28,25).3	|500	|1500
CHAN_X	|	|(27,25).3	|500	|2000
I_Pin	|IPIN(27,26).0	|(27,26).0	|500	|2500
CLB(comb)	|[1693]	|(27,26)	|1400	|3900
O_Pin	|OPIN(27,26)	|(27,26).1	|0	|3900
CHAN_X	|	|(27,25).4	|500	|4400
CHAN_X	|	|(26,25).4	|500	|4900
CHAN_X	|	|(25,25).4	|500	|5400
CHAN_X	|	|(24,25).4	|500	|5900
CHAN_X	|	|(23,25).4	|500	|6400
CHAN_X	|	|(22,25).4	|500	|6900
I_Pin	|IPIN(22,25).2	|(22,25).2	|500	|7400
CLB(comb)	|[232]	|(22,25)	|3900	|11300
O_Pin	|OPIN(22,25)	|(22,25).1	|0	|11300
CHAN_X	|	|(22,24).3	|500	|11800
CHAN_Y	|	|(21,24).3	|500	|12300
CHAN_Y	|	|(21,23).3	|500	|12800
CHAN_X	|	|(21,22).3	|500	|13300
I_Pin	|IPIN(21,22).2	|(21,22).2	|500	|13800
CLB(comb)	|[1705]	|(21,22)	|900	|14700
O_Pin	|OPIN(21,22)	|(21,22).1	|0	|14700
CHAN_X	|	|(21,21).1	|500	|15200
CHAN_X	|	|(20,21).1	|500	|15700
CHAN_X	|	|(19,21).1	|500	|16200
CHAN_X	|	|(18,21).1	|500	|16700
CHAN_X	|	|(17,21).1	|500	|17200
CHAN_X	|	|(16,21).1	|500	|17700
CHAN_Y	|	|(15,22).1	|500	|18200
I_Pin	|IPIN(15,22).3	|(15,22).3	|500	|18700
CLB(comb)	|[1724]	|(15,22)	|12900	|31600
O_Pin	|OPIN(15,22)	|(15,22).1	|0	|31600
CHAN_Y	|	|(15,22).5	|500	|32100
CHAN_Y	|	|(15,23).5	|500	|32600
I_Pin	|IPIN(15,23).3	|(15,23).3	|500	|33100
CLB(comb)	|p_311_1278_	|(15,23)	|2400	|35500
O_Pin	|OPIN(15,23)	|(15,23).1	|0	|35500
CHAN_Y	|	|(15,23).4	|500	|36000
CHAN_X	|	|(15,23).4	|500	|36500
CHAN_Y	|	|(14,24).4	|500	|37000
CHAN_Y	|	|(14,25).4	|500	|37500
CHAN_Y	|	|(14,26).4	|500	|38000
CHAN_X	|	|(15,26).4	|500	|38500
CHAN_Y	|	|(15,27).4	|500	|39000
CHAN_Y	|	|(15,28).4	|500	|39500
CHAN_X	|	|(15,28).4	|500	|40000
I_Pin	|IPIN(15,29).0	|(15,29).0	|500	|40500
Out_Block	|out:p_311_1278_	|(15,29).0	|300	|40800
