

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[178]	-0-	55	13	1	72	4	0	0
[28]	-0-	5	1	1	9	1	0	0
[358]	-0-	3	1	1	5	1	0	0
[86]	-0-	157	11	1	182	7	0	0
[37]	-0-	49	5	1	61	3	0	0
[385]	-0-	4	2	1	8	1	0	0
[158]	-0-	42	6	1	53	3	0	0
[133]	-0-	68	4	1	79	3	0	0
[122]	-0-	8	2	1	11	1	0	0
[205]	-0-	2	1	1	4	1	0	0
[121]	-0-	1527	83	1	1842	79	0	0
[293]	-0-	12	0	1	16	1	0	0
[186]	-0-	67	5	1	86	5	0	0
[168]	-0-	37	0	1	46	3	0	0
[369]	-0-	2	0	1	5	1	0	0
[155]	-0-	19	0	1	29	3	0	0
[101]	-0-	3	0	1	5	1	0	0
[379]	-0-	1	0	1	3	1	0	0
[106]	-0-	1	0	1	3	1	0	0
[150]	-0-	25	0	1	28	1	0	0
[25]	-0-	1	0	1	3	1	0	0
[48]	-0-	132	1	1	157	8	0	0
[263]	-0-	1	0	1	3	1	0	0
[248]	-0-	123	1	1	154	8	0	0
[367]	-0-	2	0	1	4	1	0	0
[319]	-0-	47	2	1	55	2	0	0
[94]	-0-	32	0	1	37	1	0	0
[183]	-0-	2	0	1	4	1	0	0
[275]	-0-	18	0	1	21	1	0	0
[303]	-0-	26	0	1	40	5	0	0
[184]	-0-	12	2	1	19	2	0	0
[109]	-0-	3	0	1	6	1	0	0
[413]	-0-	2	0	1	4	1	0	0
[247]	-0-	1	0	1	3	1	0	0
[411]	-0-	22	0	1	25	1	0	0
[201]	-0-	6	0	1	10	1	0	0
[130]	-0-	1	0	1	2	1	0	0
[270]	-0-	3	0	1	6	1	0	0
[79]	-0-	1	0	1	3	1	0	0
[99]	-0-	1	0	1	3	1	0	0
[73]	-0-	272	14	1	367	29	0	0
[212]	-0-	2	0	1	6	1	0	0
[82]	-0-	530	3	1	713	51	0	0
[83]	-0-	0	0	1	1	0	0	0
[333]	-0-	3	0	1	4	0	0	0
[36]	-0-	2	0	1	4	1	0	0
[326]	-0-	6	0	1	8	1	0	0
[105]	-0-	18	0	1	23	1	0	0
[284]	-0-	8	0	1	11	1	0	0
[135]	-0-	20	0	1	23	1	0	0
[198]	-0-	2	0	1	5	1	0	0
[115]	-0-	1	0	1	3	1	0	0
[90]	-0-	3	0	1	4	0	0	0
[282]	-0-	3	0	1	5	1	0	0
[325]	-0-	3	0	1	4	0	0	0
[24]	-0-	2	0	1	4	1	0	0
[96]	-0-	5	0	1	8	1	0	0
[376]	-0-	4	0	1	6	1	0	0
[253]	-0-	2	0	1	4	1	0	0
[120]	-0-	8	0	1	13	1	0	0
[136]	-0-	12	0	1	15	1	0	0
[139]	-0-	1	0	1	3	1	0	0
[242]	-0-	2	0	1	5	1	0	0
[69]	-0-	4	0	1	7	1	0	0
---	---	---	---	---	---	---	---	---
[all]		3436	157	64	4352	259	0	0
