exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|bbara_in_2_	|(7,3).0	|0	|0
O_Pin	|OPIN(7,3)	|(7,3).1	|500	|500
CHAN_Y	|	|(6,3).1	|500	|1000
CHAN_Y	|	|(6,2).1	|500	|1500
CHAN_X	|	|(6,1).1	|500	|2000
CHAN_X	|	|(5,1).1	|500	|2500
CHAN_X	|	|(4,1).1	|500	|3000
CHAN_Y	|	|(3,1).1	|500	|3500
CHAN_X	|	|(3,0).1	|500	|4000
CHAN_X	|	|(2,0).1	|500	|4500
CHAN_X	|	|(1,0).1	|500	|5000
CHAN_Y	|	|(0,1).1	|500	|5500
CHAN_Y	|	|(0,2).1	|500	|6000
CHAN_Y	|	|(0,3).1	|500	|6500
CHAN_Y	|	|(0,4).1	|500	|7000
CHAN_X	|	|(1,4).1	|500	|7500
CHAN_Y	|	|(1,5).1	|500	|8000
CHAN_Y	|	|(1,6).1	|500	|8500
I_Pin	|IPIN(2,6).1	|(2,6).1	|500	|9000
CLB(comb)	|[27]	|(2,6)	|900	|9900
O_Pin	|OPIN(2,6)	|(2,6).1	|0	|9900
CHAN_Y	|	|(2,6).1	|500	|10400
CHAN_X	|	|(3,6).1	|500	|10900
I_Pin	|IPIN(3,6).2	|(3,6).2	|500	|11400
CLB(comb)	|bbara_out_1_	|(3,6)	|900	|12300
O_Pin	|OPIN(3,6)	|(3,6).1	|0	|12300
CHAN_Y	|	|(3,6).3	|500	|12800
CHAN_X	|	|(3,6).3	|500	|13300
I_Pin	|IPIN(3,7).0	|(3,7).0	|500	|13800
Out_Block	|out:bbara_out_1_	|(3,7).0	|300	|14100
