

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[14]	-0-	44	3	1	51	2	0	2
[35]	-0-	21	1	0	26	1	1	1
[2]	-0-	56	0	0	74	5	1	1
[28]	-0-	1	0	0	5	1	1	0
[21]	-0-	11	0	0	19	2	1	0
[1]	-0-	11	0	0	19	2	1	0
[5]	-0-	11	0	1	19	2	0	0
[26]	-0-	2	0	0	3	0	1	0
[27]	-0-	16	0	0	24	2	1	0
[7]	-0-	0	0	0	1	0	1	0
[16]	-0-	7	0	0	12	1	1	0
[3]	-0-	3	0	0	6	1	1	0
[36]	-0-	21	0	0	33	3	1	0
[6]	-0-	7	0	0	12	1	1	0
[9]	-0-	23	0	0	34	4	1	0
[18]	-0-	15	0	0	24	2	1	0
---	---	---	---	---	---	---	---	---
[all]		249	4	2	362	29	14	4
