exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_2_	|(13,6).0	|0	|0
O_Pin	|OPIN(13,6)	|(13,6).1	|500	|500
CHAN_Y	|	|(12,6).2	|500	|1000
CHAN_X	|	|(12,5).2	|500	|1500
CHAN_X	|	|(11,5).2	|500	|2000
CHAN_Y	|	|(10,6).2	|500	|2500
I_Pin	|IPIN(10,6).3	|(10,6).3	|500	|3000
CLB(comb)	|[35]	|(10,6)	|1400	|4400
O_Pin	|OPIN(10,6)	|(10,6).1	|0	|4400
CHAN_Y	|	|(10,6).0	|500	|4900
CHAN_Y	|	|(10,5).0	|500	|5400
CHAN_X	|	|(10,4).0	|500	|5900
CHAN_Y	|	|(10,4).0	|500	|6400
CHAN_Y	|	|(10,3).0	|500	|6900
CHAN_X	|	|(10,2).0	|500	|7400
CHAN_Y	|	|(10,2).0	|500	|7900
I_Pin	|IPIN(11,2).1	|(11,2).1	|500	|8400
CLB(comb)	|[514]	|(11,2)	|4400	|12800
O_Pin	|OPIN(11,2)	|(11,2).1	|0	|12800
CHAN_X	|	|(11,1).3	|500	|13300
CHAN_X	|	|(10,1).3	|500	|13800
I_Pin	|IPIN(10,1).2	|(10,1).2	|500	|14300
CLB(comb)	|[518]	|(10,1)	|900	|15200
O_Pin	|OPIN(10,1)	|(10,1).1	|0	|15200
CHAN_X	|	|(10,0).0	|500	|15700
CHAN_Y	|	|(9,1).0	|500	|16200
I_Pin	|IPIN(9,1).3	|(9,1).3	|500	|16700
CLB(comb)	|o_11_	|(9,1)	|12500	|29200
O_Pin	|OPIN(9,1)	|(9,1).1	|0	|29200
CHAN_X	|	|(9,0).3	|500	|29700
I_Pin	|IPIN(9,0).0	|(9,0).0	|500	|30200
Out_Block	|out:o_11_	|(9,0).0	|300	|30500
