

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[84]	-0-	162	5	1	201	11	0	0
[70]	-0-	92	0	1	108	4	0	0
[85]	-0-	55	0	1	79	6	0	0
[117]	-0-	58	0	1	92	10	0	0
[25]	-0-	10	0	1	18	2	0	0
[73]	-0-	102	0	1	146	13	0	0
[55]	-0-	54	0	1	82	8	0	0
[49]	-0-	10	0	1	19	2	0	0
[17]	-0-	27	0	1	36	2	0	0
[109]	-0-	2	0	1	3	0	0	0
[3]	-0-	37	0	1	54	5	0	0
[74]	-0-	38	0	1	60	6	0	0
[60]	-0-	38	0	1	58	6	0	0
[48]	-0-	4	0	1	7	1	0	0
[56]	-0-	35	0	1	55	5	0	0
[18]	-0-	47	0	1	65	5	0	0
[34]	-0-	38	0	1	58	5	0	0
[67]	-0-	26	0	1	49	6	0	0
[1]	-0-	11	0	1	14	1	0	0
[134]	-0-	29	0	1	44	4	0	0
[38]	-0-	8	0	1	17	2	0	0
[61]	-0-	17	0	1	35	5	0	0
[92]	-0-	2	0	1	3	0	0	0
[94]	-0-	8	0	1	17	3	0	0
[41]	-0-	13	0	1	25	3	0	0
[102]	-0-	32	0	1	61	8	0	0
[5]	-0-	12	0	1	25	3	0	0
[10]	-0-	34	0	1	57	6	0	0
---	---	---	---	---	---	---	---	---
[all]		1001	5	28	1488	132	0	0
