exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|pi19	|(93,19).1	|0	|0
O_Pin	|OPIN(93,19)	|(93,19).1	|500	|500
CHAN_Y	|	|(92,19).2	|500	|1000
CHAN_X	|	|(92,19).2	|500	|1500
CHAN_Y	|	|(91,20).2	|500	|2000
CHAN_Y	|	|(91,21).2	|500	|2500
I_Pin	|IPIN(91,21).3	|(91,21).3	|500	|3000
CLB(comb)	|[34267]	|(91,21)	|7400	|10400
O_Pin	|OPIN(91,21)	|(91,21).1	|0	|10400
CHAN_X	|	|(91,20).11	|500	|10900
CHAN_X	|	|(90,20).11	|500	|11400
I_Pin	|IPIN(90,21).0	|(90,21).0	|500	|11900
CLB(comb)	|[34268]	|(90,21)	|5500	|17400
O_Pin	|OPIN(90,21)	|(90,21).1	|0	|17400
CHAN_X	|	|(90,20).0	|500	|17900
CHAN_X	|	|(89,20).0	|500	|18400
CHAN_Y	|	|(88,21).0	|500	|18900
I_Pin	|IPIN(88,21).3	|(88,21).3	|500	|19400
CLB(comb)	|[2228]	|(88,21)	|95300	|114700
O_Pin	|OPIN(88,21)	|(88,21).1	|0	|114700
CHAN_X	|	|(88,20).5	|500	|115200
CHAN_X	|	|(87,20).5	|500	|115700
CHAN_Y	|	|(86,21).5	|500	|116200
CHAN_X	|	|(86,21).5	|500	|116700
I_Pin	|IPIN(86,22).0	|(86,22).0	|500	|117200
CLB(comb)	|[34342]	|(86,22)	|98500	|215700
O_Pin	|OPIN(86,22)	|(86,22).1	|0	|215700
CHAN_X	|	|(86,21).8	|500	|216200
CHAN_X	|	|(85,21).8	|500	|216700
CHAN_X	|	|(84,21).8	|500	|217200
CHAN_Y	|	|(83,22).8	|500	|217700
CHAN_X	|	|(83,22).8	|500	|218200
I_Pin	|IPIN(83,23).0	|(83,23).0	|500	|218700
CLB(comb)	|[34344]	|(83,23)	|13000	|231700
O_Pin	|OPIN(83,23)	|(83,23).1	|0	|231700
CHAN_Y	|	|(83,23).10	|500	|232200
CHAN_X	|	|(83,23).10	|500	|232700
CHAN_X	|	|(82,23).10	|500	|233200
CHAN_X	|	|(81,23).10	|500	|233700
I_Pin	|IPIN(81,24).0	|(81,24).0	|500	|234200
CLB(comb)	|[34346]	|(81,24)	|900	|235100
O_Pin	|OPIN(81,24)	|(81,24).1	|0	|235100
CHAN_Y	|	|(81,24).5	|500	|235600
CHAN_X	|	|(81,24).5	|500	|236100
CHAN_X	|	|(80,24).5	|500	|236600
I_Pin	|IPIN(80,24).2	|(80,24).2	|500	|237100
CLB(comb)	|[2141]	|(80,24)	|22900	|260000
O_Pin	|OPIN(80,24)	|(80,24).1	|0	|260000
CHAN_X	|	|(80,23).4	|500	|260500
CHAN_X	|	|(79,23).4	|500	|261000
CHAN_Y	|	|(78,24).4	|500	|261500
CHAN_Y	|	|(78,25).4	|500	|262000
CHAN_X	|	|(78,25).4	|500	|262500
CHAN_Y	|	|(77,26).4	|500	|263000
CHAN_Y	|	|(77,27).4	|500	|263500
CHAN_Y	|	|(77,28).4	|500	|264000
CHAN_Y	|	|(77,29).4	|500	|264500
CHAN_Y	|	|(77,30).4	|500	|265000
CHAN_Y	|	|(77,31).4	|500	|265500
I_Pin	|IPIN(77,31).3	|(77,31).3	|500	|266000
CLB(comb)	|[34966]	|(77,31)	|900	|266900
O_Pin	|OPIN(77,31)	|(77,31).1	|0	|266900
CHAN_X	|	|(77,30).10	|500	|267400
CHAN_X	|	|(76,30).10	|500	|267900
CHAN_X	|	|(75,30).10	|500	|268400
CHAN_X	|	|(74,30).10	|500	|268900
CHAN_X	|	|(73,30).10	|500	|269400
CHAN_X	|	|(72,30).10	|500	|269900
CHAN_X	|	|(71,30).10	|500	|270400
CHAN_X	|	|(70,30).10	|500	|270900
CHAN_X	|	|(69,30).10	|500	|271400
CHAN_X	|	|(68,30).10	|500	|271900
CHAN_X	|	|(67,30).10	|500	|272400
CHAN_Y	|	|(66,30).10	|500	|272900
I_Pin	|IPIN(66,30).3	|(66,30).3	|500	|273400
CLB(seq)	|ni30	|(66,30)	|800	|274200
