

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[4588]	-0-	4157	4	0	4888	212	1	15
[3853]	-0-	193	0	0	246	15	1	3
[990]	-0-	15810	8	0	17930	592	1	12
[6571]	-0-	76	0	0	106	9	1	0
[6163]	-0-	479	1	0	519	11	1	0
[5680]	-0-	90	0	0	145	15	1	0
[3091]	-0-	261	0	0	277	5	1	1
[2472]	-0-	936	0	0	1085	43	1	0
[1594]	-0-	193	0	0	270	22	1	0
[1606]	-0-	12659	0	0	15730	846	1	1
[8438]	-0-	71	0	1	75	2	0	0
[536]	-0-	7	0	1	9	1	0	0
[4097]	-0-	574	0	0	615	12	1	0
[1751]	-0-	275	0	1	279	1	0	0
[8024]	-0-	464	1	1	469	1	0	0
[4254]	-0-	71	1	1	76	1	0	0
[1462]	-0-	261	1	1	266	1	0	0
[1545]	-0-	96	0	1	98	2	0	0
[5758]	-0-	30	1	1	35	1	0	0
[5859]	-0-	3	1	1	8	1	0	0
[4621]	-0-	8	1	1	13	1	0	0
[6076]	-0-	6	1	1	11	1	0	0
[5983]	-0-	67	1	1	72	1	0	0
[4323]	-0-	83	0	0	92	2	1	0
[6913]	-0-	76	0	0	81	1	1	0
[5802]	-0-	48	0	0	53	1	1	0
[8142]	-0-	5	1	1	10	1	0	0
[5816]	-0-	7	1	1	12	1	0	0
[73]	-0-	13	0	1	18	1	0	0
[7178]	-0-	4	0	1	9	1	0	0
[2576]	-0-	3	1	1	8	1	0	0
[2942]	-0-	3	1	1	8	1	0	0
[2428]	-0-	94	0	1	96	1	0	0
[728]	-0-	7	0	1	9	1	0	0
[1762]	-0-	44	0	1	49	1	0	0
[175]	-0-	259	0	1	264	1	0	0
[1181]	-0-	27	0	0	28	0	1	0
[8000]	-0-	4	0	1	6	1	0	0
[1244]	-0-	24	0	1	26	1	0	0
[7557]	-0-	2	0	1	4	1	0	0
[8068]	-0-	4	0	1	6	1	0	0
[409]	-0-	21	1	1	26	1	0	0
[7777]	-0-	8	1	1	13	1	0	0
[5019]	-0-	4	1	1	9	1	0	0
[5201]	-0-	6	1	1	11	1	0	0
[5160]	-0-	7	1	1	12	1	0	0
[2482]	-0-	3	1	1	8	1	0	0
[5634]	-0-	4	1	1	9	1	0	0
[7214]	-0-	7	1	1	12	1	0	0
[5510]	-0-	5	1	1	10	1	0	0
[7090]	-0-	4	1	1	9	1	0	0
[5968]	-0-	30	1	1	35	1	0	0
[7155]	-0-	10	1	1	15	1	0	0
[1795]	-0-	7	0	0	12	1	1	0
[5218]	-0-	18513	0	0	22079	972	1	0
[7224]	-0-	112	0	0	138	7	1	0
[2141]	-0-	541	0	0	611	19	1	0
[8007]	-0-	207	0	0	257	14	1	0
[1576]	-0-	14	0	0	21	2	1	0
[6581]	-0-	153	0	0	219	18	1	0
[6031]	-0-	103	0	0	124	6	1	0
[922]	-0-	0	0	0	1	0	1	0
[7987]	-0-	123	1	1	128	1	0	0
[5792]	-0-	213	1	1	218	1	0	0
[4699]	-0-	13	0	1	17	1	0	0
[2082]	-0-	1	0	1	3	1	0	0
[1336]	-0-	15	1	1	20	1	0	0
[1910]	-0-	18	1	1	23	1	0	0
[6950]	-0-	15	1	1	20	1	0	0
[2778]	-0-	135	1	1	140	1	0	0
[3269]	-0-	49	1	1	54	1	0	0
[4350]	-0-	18	1	1	23	1	0	0
[8235]	-0-	56	0	0	61	1	1	0
[8235]	-1-	9	0	0	10	0	1	0
[2610]	-0-	27	0	1	28	0	0	0
[1334]	-0-	60	0	0	72	3	1	0
[6278]	-0-	219	0	1	226	2	0	0
[1452]	-0-	148	0	1	166	5	0	0
[2545]	-0-	109	0	0	136	7	1	0
[5232]	-0-	46	0	0	62	4	1	0
[4015]	-0-	30	0	1	35	1	0	0
[2492]	-0-	18261	0	0	23224	1366	1	0
[7305]	-0-	21	0	0	22	0	1	0
[919]	-0-	102	0	0	110	2	1	0
[6683]	-0-	12	0	0	17	1	1	0
[1346]	-0-	6	0	0	10	1	1	0
[7085]	-0-	78	0	0	89	3	1	0
[1792]	-0-	11971	0	0	14588	723	1	0
[3483]	-0-	58	0	0	62	1	1	0
[2916]	-0-	9188	0	0	11939	754	1	0
[2409]	-0-	5799	0	0	7473	453	1	0
[6585]	-0-	13	0	0	20	2	1	0
[1229]	-0-	289	0	0	341	14	1	0
[2893]	-0-	220	0	0	269	14	1	0
[5503]	-0-	211	0	0	262	15	1	0
[4801]	-0-	116	0	0	150	9	1	0
