exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|p_5	|(14,0).0	|0	|0
O_Pin	|OPIN(14,0)	|(14,0).1	|500	|500
CHAN_X	|	|(14,0).2	|500	|1000
I_Pin	|IPIN(14,1).0	|(14,1).0	|500	|1500
CLB(comb)	|[372]	|(14,1)	|1900	|3400
O_Pin	|OPIN(14,1)	|(14,1).1	|0	|3400
CHAN_Y	|	|(14,1).4	|500	|3900
CHAN_X	|	|(15,1).4	|500	|4400
CHAN_X	|	|(16,1).4	|500	|4900
CHAN_X	|	|(17,1).4	|500	|5400
I_Pin	|IPIN(17,1).2	|(17,1).2	|500	|5900
CLB(comb)	|n_2306	|(17,1)	|900	|6800
O_Pin	|OPIN(17,1)	|(17,1).1	|0	|6800
CHAN_Y	|	|(17,1).4	|500	|7300
I_Pin	|IPIN(18,1).1	|(18,1).1	|500	|7800
CLB(comb)	|[343]	|(18,1)	|900	|8700
O_Pin	|OPIN(18,1)	|(18,1).1	|0	|8700
CHAN_Y	|	|(18,1).5	|500	|9200
I_Pin	|IPIN(19,1).1	|(19,1).1	|500	|9700
CLB(comb)	|n_2312	|(19,1)	|900	|10600
O_Pin	|OPIN(19,1)	|(19,1).1	|0	|10600
CHAN_Y	|	|(19,1).4	|500	|11100
CHAN_X	|	|(20,0).4	|500	|11600
CHAN_X	|	|(21,0).4	|500	|12100
CHAN_X	|	|(22,0).4	|500	|12600
CHAN_Y	|	|(22,1).4	|500	|13100
CHAN_Y	|	|(22,2).4	|500	|13600
CHAN_Y	|	|(22,3).4	|500	|14100
CHAN_X	|	|(22,3).4	|500	|14600
CHAN_Y	|	|(21,4).4	|500	|15100
CHAN_Y	|	|(21,5).4	|500	|15600
I_Pin	|IPIN(21,5).3	|(21,5).3	|500	|16100
CLB(comb)	|[399]	|(21,5)	|900	|17000
O_Pin	|OPIN(21,5)	|(21,5).1	|0	|17000
CHAN_Y	|	|(21,5).5	|500	|17500
CHAN_X	|	|(22,5).5	|500	|18000
CHAN_Y	|	|(22,6).5	|500	|18500
I_Pin	|IPIN(22,6).3	|(22,6).3	|500	|19000
CLB(comb)	|n_2318	|(22,6)	|900	|19900
O_Pin	|OPIN(22,6)	|(22,6).1	|0	|19900
CHAN_Y	|	|(22,6).2	|500	|20400
CHAN_Y	|	|(22,7).2	|500	|20900
CHAN_X	|	|(23,7).2	|500	|21400
I_Pin	|IPIN(23,8).0	|(23,8).0	|500	|21900
CLB(comb)	|[375]	|(23,8)	|900	|22800
O_Pin	|OPIN(23,8)	|(23,8).1	|0	|22800
CHAN_X	|	|(23,7).5	|500	|23300
CHAN_Y	|	|(22,8).5	|500	|23800
CHAN_Y	|	|(22,9).5	|500	|24300
CHAN_Y	|	|(22,10).5	|500	|24800
CHAN_Y	|	|(22,11).5	|500	|25300
CHAN_X	|	|(23,11).5	|500	|25800
CHAN_Y	|	|(23,12).5	|500	|26300
CHAN_Y	|	|(23,13).5	|500	|26800
I_Pin	|IPIN(23,13).3	|(23,13).3	|500	|27300
CLB(comb)	|n_2324	|(23,13)	|900	|28200
O_Pin	|OPIN(23,13)	|(23,13).1	|0	|28200
CHAN_X	|	|(23,12).5	|500	|28700
CHAN_Y	|	|(22,13).5	|500	|29200
I_Pin	|IPIN(22,13).3	|(22,13).3	|500	|29700
CLB(comb)	|[384]	|(22,13)	|900	|30600
O_Pin	|OPIN(22,13)	|(22,13).1	|0	|30600
CHAN_X	|	|(22,12).2	|500	|31100
CHAN_X	|	|(21,12).2	|500	|31600
I_Pin	|IPIN(21,13).0	|(21,13).0	|500	|32100
CLB(comb)	|n_2330	|(21,13)	|900	|33000
O_Pin	|OPIN(21,13)	|(21,13).1	|0	|33000
CHAN_X	|	|(21,12).3	|500	|33500
CHAN_X	|	|(20,12).3	|500	|34000
I_Pin	|IPIN(20,13).0	|(20,13).0	|500	|34500
CLB(comb)	|[348]	|(20,13)	|900	|35400
O_Pin	|OPIN(20,13)	|(20,13).1	|0	|35400
CHAN_X	|	|(20,12).2	|500	|35900
CHAN_Y	|	|(19,13).2	|500	|36400
I_Pin	|IPIN(19,13).3	|(19,13).3	|500	|36900
CLB(comb)	|n_2336	|(19,13)	|900	|37800
O_Pin	|OPIN(19,13)	|(19,13).1	|0	|37800
CHAN_X	|	|(19,12).3	|500	|38300
CHAN_X	|	|(18,12).3	|500	|38800
CHAN_X	|	|(17,12).3	|500	|39300
CHAN_X	|	|(16,12).3	|500	|39800
CHAN_X	|	|(15,12).3	|500	|40300
CHAN_X	|	|(14,12).3	|500	|40800
CHAN_X	|	|(13,12).3	|500	|41300
I_Pin	|IPIN(13,13).0	|(13,13).0	|500	|41800
CLB(comb)	|[378]	|(13,13)	|900	|42700
O_Pin	|OPIN(13,13)	|(13,13).1	|0	|42700
CHAN_X	|	|(13,12).4	|500	|43200
CHAN_X	|	|(12,12).4	|500	|43700
CHAN_X	|	|(11,12).4	|500	|44200
CHAN_X	|	|(10,12).4	|500	|44700
I_Pin	|IPIN(10,12).2	|(10,12).2	|500	|45200
CLB(comb)	|n_2342	|(10,12)	|900	|46100
O_Pin	|OPIN(10,12)	|(10,12).1	|0	|46100
CHAN_X	|	|(10,11).0	|500	|46600
CHAN_Y	|	|(9,11).0	|500	|47100
CHAN_X	|	|(9,10).0	|500	|47600
I_Pin	|IPIN(9,10).2	|(9,10).2	|500	|48100
CLB(comb)	|[408]	|(9,10)	|900	|49000
O_Pin	|OPIN(9,10)	|(9,10).1	|0	|49000
CHAN_X	|	|(9,9).1	|500	|49500
CHAN_Y	|	|(8,10).1	|500	|50000
