

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[395]	-0-	2	0	0	3	0	1	1
[224]	-0-	2	0	0	3	0	1	1
[19]	-0-	2272	33	1	2825	161	0	59
[361]	-0-	0	0	0	1	0	1	0
[71]	-0-	27	0	0	28	0	1	0
[71]	-1-	1	0	0	2	0	1	0
[71]	-2-	8	0	0	9	0	1	0
[71]	-3-	0	0	0	1	0	1	0
[71]	-4-	0	0	0	1	0	1	0
[71]	-5-	4	0	0	5	0	1	0
[71]	-6-	0	0	0	1	0	1	0
[71]	-7-	1	0	0	2	0	1	0
[71]	-8-	0	0	0	1	0	1	0
[71]	-9-	2	0	0	3	0	1	0
[71]	-10-	2	0	0	3	0	1	0
[71]	-11-	15	0	0	16	0	1	0
[71]	-12-	2	0	0	3	0	1	0
[71]	-13-	0	0	0	1	0	1	0
[71]	-14-	12	0	0	13	0	1	0
[71]	-15-	0	0	0	1	0	1	0
[71]	-16-	2	0	0	3	0	1	0
[71]	-17-	5	0	0	6	0	1	0
[71]	-18-	0	0	0	1	0	1	0
[71]	-19-	1	0	0	2	0	1	0
[71]	-20-	1	0	0	2	0	1	0
[71]	-21-	0	0	0	1	0	1	0
[71]	-22-	0	0	0	1	0	1	0
[71]	-23-	3	0	0	4	0	1	0
[71]	-24-	14	0	0	15	0	1	0
[71]	-25-	0	0	0	1	0	1	0
[71]	-26-	1	0	0	2	0	1	0
[71]	-27-	0	0	0	1	0	1	0
[71]	-28-	2	0	0	3	0	1	0
[71]	-29-	0	0	0	1	0	1	0
[65]	-0-	10	0	0	11	0	1	0
[65]	-1-	0	0	0	1	0	1	0
[65]	-2-	9	0	0	10	0	1	0
[65]	-3-	22	0	0	23	0	1	0
[65]	-4-	0	0	0	1	0	1	0
[65]	-5-	0	0	0	1	0	1	0
[65]	-6-	0	0	0	1	0	1	0
[65]	-7-	4	0	0	5	0	1	0
[65]	-8-	12	0	0	13	0	1	0
[65]	-9-	1	0	0	2	0	1	0
[65]	-10-	0	0	0	1	0	1	0
[65]	-11-	16	0	0	17	0	1	0
[65]	-12-	0	0	0	1	0	1	0
[65]	-13-	6	0	0	7	0	1	0
[65]	-14-	8	0	0	9	0	1	0
[65]	-15-	1	0	0	2	0	1	0
[65]	-16-	1	0	0	2	0	1	0
[65]	-17-	4	0	0	5	0	1	0
[65]	-18-	0	0	0	1	0	1	0
[65]	-19-	0	0	0	1	0	1	0
[65]	-20-	0	0	0	1	0	1	0
[65]	-21-	0	0	0	1	0	1	0
[65]	-22-	1	0	0	2	0	1	0
[65]	-23-	0	0	0	1	0	1	0
[65]	-24-	0	0	0	1	0	1	0
[65]	-25-	2	0	0	3	0	1	0
[65]	-26-	0	0	0	1	0	1	0
[65]	-27-	0	0	0	1	0	1	0
[65]	-28-	2	0	0	3	0	1	0
[65]	-29-	2	0	0	3	0	1	0
[350]	-0-	0	0	0	1	0	1	0
[350]	-1-	1	0	0	2	0	1	0
[350]	-2-	1	0	0	2	0	1	0
[112]	-0-	1	0	0	2	0	1	0
[112]	-1-	1	0	0	2	0	1	0
[112]	-2-	0	0	0	1	0	1	0
[21]	-0-	2	0	0	3	0	1	0
[21]	-1-	0	0	0	1	0	1	0
[413]	-0-	2	0	0	3	0	1	0
[432]	-0-	7	0	0	8	0	1	0
[266]	-0-	0	0	0	1	0	1	0
[347]	-0-	2	0	0	3	0	1	0
[167]	-0-	3	0	0	4	0	1	0
[165]	-0-	0	0	0	1	0	1	0
[119]	-0-	0	0	0	1	0	1	0
[448]	-0-	4	0	0	5	0	1	0
[9]	-0-	0	0	0	1	0	1	0
[59]	-0-	3	0	0	4	0	1	0
[262]	-0-	53	0	1	76	6	0	1
[510]	-0-	56	0	1	96	10	0	1
[196]	-0-	97	0	1	137	10	0	1
[311]	-0-	17	0	0	22	1	1	0
[43]	-0-	54	0	1	80	7	0	1
[401]	-0-	104	0	1	144	10	0	1
[229]	-0-	5	0	0	10	1	1	0
[0]	-0-	72	0	1	112	10	0	1
[25]	-0-	4	0	0	9	1	1	0
[380]	-0-	149	0	1	189	10	0	1
[545]	-0-	67	0	1	107	10	0	1
[241]	-0-	117	0	1	157	10	0	1
[378]	-0-	106	0	1	154	13	0	1
[302]	-0-	1	0	0	2	0	1	0
[427]	-0-	1	0	0	2	0	1	0
[427]	-1-	1	0	0	2	0	1	0
[232]	-0-	2	0	0	3	0	1	0
[154]	-0-	0	0	0	1	0	1	0
[154]	-1-	0	0	0	1	0	1	0
[42]	-0-	0	0	0	1	0	1	0
[2]	-0-	7	0	0	12	1	1	0
[3]	-0-	3	0	0	8	1	1	0
[105]	-0-	5	0	0	10	1	1	0
[128]	-0-	46	0	1	67	5	0	1
[367]	-0-	23	0	0	28	1	1	0
[384]	-0-	6	0	0	11	1	1	0
[375]	-0-	0	0	0	1	0	1	0
[33]	-0-	0	0	0	1	0	1	0
[425]	-0-	2	0	0	3	0	1	0
[517]	-0-	0	0	0	1	0	1	0
[462]	-0-	0	0	0	1	0	1	0
[462]	-1-	0	0	0	1	0	1	0
[462]	-2-	0	0	0	1	0	1	0
[450]	-0-	0	0	0	1	0	1	0
[288]	-0-	0	0	0	1	0	1	0
[222]	-0-	1	0	0	2	0	1	0
[10]	-0-	1	0	0	2	0	1	0
[504]	-0-	56	0	1	79	6	0	1
[182]	-0-	59	0	1	98	10	0	1
[312]	-0-	47	0	1	72	6	0	1
[248]	-0-	78	0	1	114	9	0	1
[446]	-0-	36	0	1	62	7	0	1
[190]	-0-	73	0	1	109	9	0	1
[63]	-0-	54	0	1	90	9	0	1
[23]	-0-	72	0	1	108	9	0	1
