exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|i_13_	|(69,33).0	|0	|0
O_Pin	|OPIN(69,33)	|(69,33).1	|500	|500
CHAN_Y	|	|(68,33).14	|500	|1000
CHAN_Y	|	|(68,34).14	|500	|1500
CHAN_Y	|	|(68,35).14	|500	|2000
CHAN_X	|	|(68,35).14	|500	|2500
CHAN_X	|	|(67,35).14	|500	|3000
I_Pin	|IPIN(67,36).0	|(67,36).0	|500	|3500
CLB(comb)	|[19270]	|(67,36)	|11800	|15300
O_Pin	|OPIN(67,36)	|(67,36).1	|0	|15300
CHAN_Y	|	|(67,36).8	|500	|15800
CHAN_X	|	|(67,36).8	|500	|16300
I_Pin	|IPIN(67,37).0	|(67,37).0	|500	|16800
CLB(comb)	|[1181]	|(67,37)	|43900	|60700
O_Pin	|OPIN(67,37)	|(67,37).1	|0	|60700
CHAN_Y	|	|(67,37).14	|500	|61200
CHAN_Y	|	|(67,38).14	|500	|61700
CHAN_Y	|	|(67,39).14	|500	|62200
CHAN_Y	|	|(67,40).14	|500	|62700
CHAN_X	|	|(67,40).14	|500	|63200
CHAN_X	|	|(66,40).14	|500	|63700
CHAN_Y	|	|(65,41).14	|500	|64200
CHAN_X	|	|(65,41).14	|500	|64700
CHAN_X	|	|(64,41).14	|500	|65200
I_Pin	|IPIN(64,42).0	|(64,42).0	|500	|65700
CLB(comb)	|[19278]	|(64,42)	|41900	|107600
O_Pin	|OPIN(64,42)	|(64,42).1	|0	|107600
CHAN_X	|	|(64,41).12	|500	|108100
CHAN_X	|	|(65,41).12	|500	|108600
CHAN_Y	|	|(65,42).12	|500	|109100
CHAN_Y	|	|(65,43).12	|500	|109600
CHAN_X	|	|(66,43).12	|500	|110100
CHAN_Y	|	|(66,44).12	|500	|110600
CHAN_Y	|	|(66,45).12	|500	|111100
CHAN_Y	|	|(66,46).12	|500	|111600
CHAN_Y	|	|(66,47).12	|500	|112100
CHAN_Y	|	|(66,48).12	|500	|112600
CHAN_Y	|	|(66,49).12	|500	|113100
CHAN_Y	|	|(66,50).12	|500	|113600
CHAN_Y	|	|(66,51).12	|500	|114100
CHAN_Y	|	|(66,52).12	|500	|114600
CHAN_Y	|	|(66,53).12	|500	|115100
CHAN_Y	|	|(66,54).12	|500	|115600
CHAN_X	|	|(66,54).12	|500	|116100
CHAN_X	|	|(65,54).12	|500	|116600
CHAN_X	|	|(64,54).12	|500	|117100
I_Pin	|IPIN(64,55).0	|(64,55).0	|500	|117600
CLB(comb)	|[19305]	|(64,55)	|900	|118500
O_Pin	|OPIN(64,55)	|(64,55).1	|0	|118500
CHAN_Y	|	|(64,55).9	|500	|119000
CHAN_Y	|	|(64,56).9	|500	|119500
CHAN_X	|	|(64,56).9	|500	|120000
CHAN_X	|	|(63,56).9	|500	|120500
CHAN_Y	|	|(62,57).9	|500	|121000
CHAN_Y	|	|(62,58).9	|500	|121500
CHAN_Y	|	|(62,59).9	|500	|122000
CHAN_X	|	|(62,59).9	|500	|122500
CHAN_Y	|	|(61,60).9	|500	|123000
CHAN_X	|	|(61,60).9	|500	|123500
CHAN_X	|	|(60,60).9	|500	|124000
I_Pin	|IPIN(60,60).2	|(60,60).2	|500	|124500
CLB(comb)	|[19306]	|(60,60)	|900	|125400
O_Pin	|OPIN(60,60)	|(60,60).1	|0	|125400
CHAN_Y	|	|(60,60).5	|500	|125900
CHAN_X	|	|(60,60).5	|500	|126400
CHAN_X	|	|(59,60).5	|500	|126900
CHAN_X	|	|(58,60).5	|500	|127400
CHAN_Y	|	|(57,61).5	|500	|127900
CHAN_X	|	|(57,61).5	|500	|128400
CHAN_X	|	|(56,61).5	|500	|128900
CHAN_X	|	|(55,61).5	|500	|129400
CHAN_X	|	|(54,61).5	|500	|129900
CHAN_X	|	|(53,61).5	|500	|130400
CHAN_X	|	|(52,61).5	|500	|130900
CHAN_X	|	|(51,61).5	|500	|131400
CHAN_X	|	|(50,61).5	|500	|131900
CHAN_X	|	|(49,61).5	|500	|132400
CHAN_X	|	|(48,61).5	|500	|132900
I_Pin	|IPIN(48,61).2	|(48,61).2	|500	|133400
CLB(comb)	|n_n5231	|(48,61)	|900	|134300
O_Pin	|OPIN(48,61)	|(48,61).1	|0	|134300
CHAN_X	|	|(48,60).9	|500	|134800
CHAN_X	|	|(47,60).9	|500	|135300
CHAN_X	|	|(46,60).9	|500	|135800
CHAN_Y	|	|(45,60).9	|500	|136300
CHAN_X	|	|(45,59).9	|500	|136800
CHAN_Y	|	|(44,59).9	|500	|137300
CHAN_X	|	|(44,58).9	|500	|137800
CHAN_X	|	|(43,58).9	|500	|138300
CHAN_X	|	|(42,58).9	|500	|138800
CHAN_X	|	|(41,58).9	|500	|139300
CHAN_X	|	|(40,58).9	|500	|139800
CHAN_X	|	|(39,58).9	|500	|140300
CHAN_X	|	|(38,58).9	|500	|140800
CHAN_Y	|	|(37,58).9	|500	|141300
CHAN_Y	|	|(37,57).9	|500	|141800
CHAN_X	|	|(37,56).9	|500	|142300
CHAN_X	|	|(36,56).9	|500	|142800
CHAN_X	|	|(35,56).9	|500	|143300
CHAN_Y	|	|(34,56).9	|500	|143800
CHAN_X	|	|(34,56).9	|500	|144300
CHAN_X	|	|(33,56).9	|500	|144800
CHAN_X	|	|(32,56).9	|500	|145300
CHAN_Y	|	|(31,57).9	|500	|145800
CHAN_X	|	|(31,57).9	|500	|146300
CHAN_X	|	|(30,57).9	|500	|146800
CHAN_Y	|	|(29,58).9	|500	|147300
CHAN_Y	|	|(29,59).9	|500	|147800
CHAN_X	|	|(29,59).9	|500	|148300
