

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[895]	-0-	24795	16	1	27284	672	0	0
[3948]	-0-	349	0	1	409	16	0	0
[1913]	-0-	208	0	1	261	14	0	0
[4467]	-0-	542	0	1	640	25	0	0
[2634]	-0-	11897	0	1	13251	359	0	0
[2559]	-0-	201	0	1	233	9	0	0
[837]	-0-	298	0	1	398	26	0	0
[734]	-0-	7177	0	1	8587	374	0	0
[2934]	-0-	20	0	1	32	3	0	0
[510]	-0-	38	0	1	53	4	0	0
[185]	-0-	49	0	1	61	3	0	0
[4018]	-0-	12545	0	1	14537	523	0	0
[1190]	-0-	5356	0	1	6033	179	0	0
[2001]	-0-	6254	0	1	7530	340	0	0
[2224]	-0-	392	0	1	506	30	0	0
[2375]	-0-	122	0	1	165	11	0	0
[4207]	-0-	5863	0	1	7034	311	0	0
[800]	-0-	261	0	1	380	30	0	0
[3682]	-0-	51	0	1	74	6	0	0
[4537]	-0-	81	0	1	119	10	0	0
[3302]	-0-	1092	0	1	1463	100	0	0
[2018]	-0-	4940	0	1	5856	243	0	0
[3046]	-0-	250	0	1	306	15	0	0
[1936]	-0-	180	0	1	212	8	0	0
[1004]	-0-	31	0	1	36	1	0	0
[2949]	-0-	31	0	1	49	5	0	0
[3962]	-0-	1721	0	1	2030	82	0	0
[2239]	-0-	304	0	1	417	30	0	0
[2997]	-0-	203	0	1	295	25	0	0
[771]	-0-	1143	0	1	1436	77	0	0
[1895]	-0-	299	0	1	366	18	0	0
[1555]	-0-	45	0	1	72	7	0	0
[2032]	-0-	165	0	1	178	4	0	0
[178]	-0-	1541	0	1	1879	89	0	0
[401]	-0-	1548	0	1	1867	85	0	0
[1732]	-0-	3242	0	1	4091	227	0	0
[574]	-0-	2498	0	1	3093	160	0	0
[3165]	-0-	3466	0	1	4383	246	0	0
[2669]	-0-	2529	0	1	3254	195	0	0
[4367]	-0-	175	0	1	225	13	0	0
---	---	---	---	---	---	---	---	---
[all]		101902	16	40	119095	4575	0	0
