exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
CLB(seq)	|n_n855	|(23,36)	|0	|0
O_Pin	|OPIN(23,36)	|(23,36).1	|500	|500
CHAN_X	|	|(23,35).4	|500	|1000
CHAN_X	|	|(22,35).4	|500	|1500
CHAN_X	|	|(21,35).4	|500	|2000
CHAN_X	|	|(20,35).4	|500	|2500
CHAN_X	|	|(19,35).4	|500	|3000
CHAN_X	|	|(18,35).4	|500	|3500
CHAN_Y	|	|(17,35).4	|500	|4000
CHAN_Y	|	|(17,34).4	|500	|4500
CHAN_X	|	|(17,33).4	|500	|5000
CHAN_Y	|	|(16,33).4	|500	|5500
CHAN_Y	|	|(16,32).4	|500	|6000
CHAN_Y	|	|(16,31).4	|500	|6500
CHAN_Y	|	|(16,30).4	|500	|7000
CHAN_X	|	|(17,30).4	|500	|7500
CHAN_X	|	|(18,30).4	|500	|8000
CHAN_X	|	|(19,30).4	|500	|8500
CHAN_X	|	|(20,30).4	|500	|9000
CHAN_X	|	|(21,30).4	|500	|9500
CHAN_X	|	|(22,30).4	|500	|10000
CHAN_Y	|	|(22,31).4	|500	|10500
CHAN_X	|	|(22,31).4	|500	|11000
I_Pin	|IPIN(22,32).0	|(22,32).0	|500	|11500
CLB(comb)	|[580]	|(22,32)	|900	|12400
O_Pin	|OPIN(22,32)	|(22,32).1	|0	|12400
CHAN_X	|	|(22,31).2	|500	|12900
CHAN_X	|	|(21,31).2	|500	|13400
CHAN_X	|	|(20,31).2	|500	|13900
CHAN_X	|	|(19,31).2	|500	|14400
CHAN_Y	|	|(19,31).2	|500	|14900
CHAN_Y	|	|(19,30).2	|500	|15400
CHAN_Y	|	|(19,29).2	|500	|15900
CHAN_X	|	|(19,28).2	|500	|16400
CHAN_Y	|	|(18,28).2	|500	|16900
I_Pin	|IPIN(19,28).1	|(19,28).1	|500	|17400
CLB(comb)	|[578]	|(19,28)	|16400	|33800
O_Pin	|OPIN(19,28)	|(19,28).1	|0	|33800
CHAN_Y	|	|(19,28).5	|500	|34300
CHAN_X	|	|(19,28).5	|500	|34800
CHAN_X	|	|(18,28).5	|500	|35300
CHAN_X	|	|(17,28).5	|500	|35800
CHAN_X	|	|(16,28).5	|500	|36300
CHAN_X	|	|(15,28).5	|500	|36800
I_Pin	|IPIN(15,28).2	|(15,28).2	|500	|37300
CLB(comb)	|s298_out_0_	|(15,28)	|900	|38200
O_Pin	|OPIN(15,28)	|(15,28).1	|0	|38200
CHAN_X	|	|(15,27).7	|500	|38700
CHAN_X	|	|(14,27).7	|500	|39200
CHAN_X	|	|(13,27).7	|500	|39700
CHAN_X	|	|(12,27).7	|500	|40200
CHAN_X	|	|(11,27).7	|500	|40700
CHAN_X	|	|(10,27).7	|500	|41200
CHAN_Y	|	|(9,28).7	|500	|41700
CHAN_Y	|	|(9,29).7	|500	|42200
CHAN_X	|	|(9,29).7	|500	|42700
CHAN_X	|	|(8,29).7	|500	|43200
CHAN_X	|	|(7,29).7	|500	|43700
CHAN_X	|	|(6,29).7	|500	|44200
CHAN_X	|	|(5,29).7	|500	|44700
CHAN_Y	|	|(4,30).7	|500	|45200
CHAN_Y	|	|(4,31).7	|500	|45700
CHAN_X	|	|(4,31).7	|500	|46200
CHAN_X	|	|(3,31).7	|500	|46700
CHAN_X	|	|(2,31).7	|500	|47200
CHAN_Y	|	|(2,31).7	|500	|47700
CHAN_Y	|	|(2,30).7	|500	|48200
CHAN_Y	|	|(2,29).7	|500	|48700
CHAN_X	|	|(2,28).7	|500	|49200
CHAN_X	|	|(1,28).7	|500	|49700
CHAN_Y	|	|(0,28).7	|500	|50200
I_Pin	|IPIN(0,28).0	|(0,28).0	|500	|50700
Out_Block	|out:s298_out_0_	|(0,28).0	|300	|51000
