

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[272]	-0-	217	0	1	241	8	0	5
[261]	-0-	52	0	1	57	1	0	0
[870]	-0-	11818	3	0	14858	849	1	3
[1349]	-0-	365	0	0	449	23	1	0
[1108]	-0-	393	0	0	485	27	1	0
[799]	-0-	18	0	1	19	0	0	0
[1834]	-0-	24	0	1	28	1	0	0
[378]	-0-	26	0	1	27	0	0	0
[1825]	-0-	8	0	1	9	0	0	0
[958]	-0-	448	0	0	558	31	1	0
[652]	-0-	292	0	0	390	26	1	0
[1206]	-0-	17	0	0	18	0	1	0
[889]	-0-	25	0	0	26	0	1	0
[1503]	-0-	17	0	0	18	0	1	0
[1475]	-0-	28	0	0	29	0	1	0
[1835]	-0-	39	0	0	40	0	1	0
[593]	-0-	22	0	0	23	0	1	0
[1154]	-0-	13	0	0	14	0	1	0
[1661]	-0-	15	0	0	16	0	1	0
[1074]	-0-	13	0	0	14	0	1	0
[998]	-0-	17	0	0	18	0	1	0
[1838]	-0-	17	0	0	18	0	1	0
[542]	-0-	3136	0	0	4335	327	1	0
[413]	-0-	1464	0	0	2134	185	1	0
[1394]	-0-	204	0	0	294	23	1	0
[204]	-0-	226	0	0	329	28	1	0
[645]	-0-	255	0	0	354	29	1	0
[1250]	-0-	1865	0	0	2891	284	1	0
[1318]	-0-	297	0	0	398	28	1	0
[1258]	-0-	413	0	0	605	53	1	0
---	---	---	---	---	---	---	---	---
[all]		21744	3	6	28695	1923	24	8
