

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[10]	-0-	2	1	1	4	1	0	0
[30]	-0-	3	1	1	5	1	0	0
[19]	-0-	3	1	1	5	1	0	0
[16]	-0-	2	1	1	4	1	0	0
[7]	-0-	5	1	1	7	1	0	0
[27]	-0-	4	1	1	6	1	0	0
[32]	-0-	3	1	1	5	1	0	0
[17]	-0-	3	1	1	5	1	0	0
[0]	-0-	13	2	1	17	1	0	0
[2]	-0-	4	1	1	8	1	0	0
[26]	-0-	6	1	1	10	1	0	0
[4]	-0-	5	1	1	9	1	0	0
[8]	-0-	5	1	1	9	1	0	0
[25]	-0-	9	1	1	13	1	0	0
[11]	-0-	5	1	1	9	1	0	0
[3]	-0-	2	1	1	6	1	0	0
---	---	---	---	---	---	---	---	---
[all]		74	17	16	122	16	0	0
