exact critical path: 
 
(time in ns) 
 
Node:			Time:
Type:	Name:	Location:	Delay:	tA ('T-Arrival'):
--	--	--	--	--
In_Block	|preset	|(28,0).1	|0	|0
O_Pin	|OPIN(28,0)	|(28,0).1	|500	|500
CHAN_X	|	|(28,0).6	|500	|1000
CHAN_X	|	|(27,0).6	|500	|1500
CHAN_Y	|	|(26,1).6	|500	|2000
CHAN_X	|	|(26,1).6	|500	|2500
CHAN_Y	|	|(26,2).6	|500	|3000
I_Pin	|IPIN(26,2).3	|(26,2).3	|500	|3500
CLB(comb)	|[944]	|(26,2)	|7900	|11400
O_Pin	|OPIN(26,2)	|(26,2).1	|0	|11400
CHAN_X	|	|(26,1).0	|500	|11900
CHAN_X	|	|(25,1).0	|500	|12400
CHAN_X	|	|(24,1).0	|500	|12900
CHAN_X	|	|(23,1).0	|500	|13400
CHAN_X	|	|(22,1).0	|500	|13900
CHAN_X	|	|(21,1).0	|500	|14400
CHAN_X	|	|(20,1).0	|500	|14900
CHAN_X	|	|(19,1).0	|500	|15400
CHAN_X	|	|(18,1).0	|500	|15900
CHAN_X	|	|(17,1).0	|500	|16400
CHAN_X	|	|(16,1).0	|500	|16900
CHAN_X	|	|(15,1).0	|500	|17400
CHAN_X	|	|(14,1).0	|500	|17900
CHAN_Y	|	|(13,2).0	|500	|18400
CHAN_Y	|	|(13,3).0	|500	|18900
CHAN_X	|	|(13,3).0	|500	|19400
CHAN_X	|	|(12,3).0	|500	|19900
CHAN_X	|	|(11,3).0	|500	|20400
CHAN_X	|	|(10,3).0	|500	|20900
CHAN_Y	|	|(9,4).0	|500	|21400
CHAN_Y	|	|(9,5).0	|500	|21900
CHAN_X	|	|(9,5).0	|500	|22400
CHAN_X	|	|(8,5).0	|500	|22900
CHAN_Y	|	|(7,5).0	|500	|23400
I_Pin	|IPIN(8,5).1	|(8,5).1	|500	|23900
CLB(seq)	|nsr3_3	|(8,5)	|800	|24700
