

exact wire length per path (in segments): 
 
net#:	path#:	CHAN:	IPAD:	OPAD:	SWITCH:	COMB:	FFIN:	FFOUT:
---	---	---	---	---	---	---	---	---
[265]	-0-	18	0	1	21	1	0	2
[1060]	-0-	600	1	0	766	49	1	36
[673]	-0-	17	0	0	22	1	1	0
[234]	-0-	14	0	0	15	0	1	1
[234]	-1-	0	0	0	1	0	1	0
[234]	-2-	0	0	0	1	0	1	0
[108]	-0-	140	0	0	156	4	1	7
[768]	-0-	1	0	0	2	0	1	1
[361]	-0-	2	0	0	3	0	1	1
[961]	-0-	22	1	1	26	1	0	2
[961]	-1-	2	0	0	3	0	1	0
[430]	-0-	119	0	0	146	7	1	16
[127]	-0-	87	0	0	113	7	1	5
[580]	-0-	174	1	0	183	2	1	5
[1037]	-0-	62	0	0	82	6	1	2
[707]	-0-	7	0	0	12	1	1	0
[1045]	-0-	69	0	0	74	1	1	1
[877]	-0-	1	0	0	2	0	1	0
[1005]	-0-	9	0	0	10	0	1	1
[1005]	-1-	1	0	0	2	0	1	0
[1005]	-2-	0	0	0	1	0	1	0
[1005]	-3-	1	0	0	2	0	1	0
[299]	-0-	1	0	0	2	0	1	1
[527]	-0-	1	0	0	2	0	1	1
[831]	-0-	179	0	0	275	25	1	2
[192]	-0-	57	0	0	61	1	1	2
[192]	-1-	15	0	0	16	0	1	0
[192]	-2-	2	0	0	3	0	1	0
[192]	-3-	5	0	0	6	0	1	0
[192]	-4-	2	0	0	3	0	1	0
[192]	-5-	0	0	0	1	0	1	0
[192]	-6-	0	0	0	1	0	1	0
[192]	-7-	2	0	0	3	0	1	0
[991]	-0-	17	1	0	21	1	1	2
[991]	-1-	4	0	1	5	0	0	0
[1064]	-0-	38	0	0	43	1	1	1
[728]	-0-	3	0	0	4	0	1	0
[297]	-0-	51	0	0	56	1	1	3
[805]	-0-	1	0	0	2	0	1	1
[962]	-0-	2	0	0	3	0	1	1
[962]	-1-	4	0	0	5	0	1	0
[962]	-2-	1	0	0	2	0	1	0
[556]	-0-	14	0	1	17	1	0	2
[538]	-0-	1	0	0	2	0	1	1
[480]	-0-	17	0	1	20	1	0	2
[344]	-0-	20	0	0	21	0	1	1
[344]	-1-	1	0	0	2	0	1	0
[344]	-2-	0	0	0	1	0	1	0
[344]	-3-	2	0	0	3	0	1	0
[312]	-0-	1	0	0	2	0	1	1
[312]	-1-	8	0	0	9	0	1	0
[196]	-0-	6	0	1	9	1	0	2
[774]	-0-	2	0	0	3	0	1	0
[1002]	-0-	28	0	0	39	3	1	0
[326]	-0-	7	0	0	12	1	1	1
[420]	-0-	55	0	0	60	1	1	3
[289]	-0-	72	0	0	92	6	1	6
[726]	-0-	50	0	0	55	1	1	0
[813]	-0-	1	0	0	2	0	1	1
[813]	-1-	2	0	0	3	0	1	0
[1021]	-0-	22	0	0	27	1	1	1
[359]	-0-	7	0	0	8	0	1	0
[359]	-1-	1	0	0	2	0	1	0
